"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Acanthis flammea","Accipiter gentilis","Accipiter nisus","Acrocephalus schoenobaenus","Actitis hypoleucos","Alauda arvensis","Anthus pratensis","Anthus trivialis","Apus apus","Arenaria interpres","Asio flammeus","Aythya fuligula","Bombycilla garrulus","Buteo buteo","Calidris falcinellus","Calidris pugnax","Certhia familiaris","Chloris chloris","Circus cyaneus","Columba palumbus","Corvus corax","Corvus corone cornix","Corvus monedula","Cuculus canorus","Curruca communis","Cursorius cursor","Cyanistes caeruleus","Delichon urbicum","Dendrocopos major","Dryocopus martius","Emberiza citrinella","Emberiza hortulana","Erithacus rubecula","Falco subbuteo","Falco tinnunculus","Ficedula hypoleuca","Ficedula parva","Fringilla coelebs","Fringilla montifringilla","Gallinago gallinago","Garrulus glandarius","Grus grus","Hirundo rustica","Jynx torquilla","Lagopus lagopus","Lanius collurio","Lanius excubitor","Lophophanes cristatus","Loxia curvirostra","Loxia leucoptera","Loxia pytyopsittacus","Lymnocryptes minimus","Lyrurus tetrix","Motacilla alba","Motacilla flava","Muscicapa striata","Numenius arquata","Numenius phaeopus","Oenanthe oenanthe","Pandion haliaetus","Parus major","Passer domesticus","Periparus ater","Perisoreus infaustus","Phasianus colchicus","Phoenicurus phoenicurus","Phylloscopus collybita","Phylloscopus trochilus","Pica pica","Picoides tridactylus","Pluvialis apricaria","Poecile montanus","Prunella modularis","Pyrrhula pyrrhula","Regulus regulus","Rhadina sibilatrix","Riparia riparia","Saxicola rubetra","Schoeniclus rusticus","Schoeniclus schoeniclus","Scolopax rusticola","Seicercus trochiloides","Spinus spinus","Sturnus vulgaris","Sylvia borin","Tetrao urogallus","Tetrastes bonasia","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Troglodytes troglodytes","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus","Vanellus vanellus"
"birds_dec_2_MB_SampleID_1",309906.030009953,6867119.26000128,1988,1209.44781017303,3.49166661128401,181,-0.0133333333333333,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"birds_dec_2_MB_SampleID_2",309906.030000536,6867119.26000434,1989,814.80710029602,4.99999992673596,149,0.701666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"birds_dec_2_MB_SampleID_3",309906.030008113,6867119.2600015,1990,906.294092178344,4.40833328540126,156,0.594166666666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"birds_dec_2_MB_SampleID_4",309906.030000279,6867119.26000714,1991,896.961974143983,3.97500006357828,122,0.268333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"birds_dec_2_MB_SampleID_5",269922.050006257,6877115.07000369,1993,840.950288772583,3.49166673421859,160,0.179166666666667,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
"birds_dec_2_MB_SampleID_6",269922.050003753,6877115.07000201,1994,705.289799332619,3.25833337505658,154,0.575833333333333,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
"birds_dec_2_MB_SampleID_7",269922.050008589,6877115.0700093,1995,1016.23781108856,4.09166663885117,175,-0.0808333333333333,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1
"birds_dec_2_MB_SampleID_8",269922.050008477,6877115.07000062,1996,800.553144454956,3.02499996622403,160,-0.214166666666667,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1
"birds_dec_2_MB_SampleID_9",269922.000008763,6887111.06000393,1993,834.478133678436,3.42500004172325,158,0.179166666666667,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
"birds_dec_2_MB_SampleID_10",269922.000000603,6887111.06000062,1994,691.872679829597,3.15000001589457,146,0.575833333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
