"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anthocharis cardamines","Aphantopus hyperantus","Aporia crataegi","Argynnis aglaja","Boloria selene","Brenthis ino","Callophrys rubi","Carterocephalus silvicola","Celastrina argiolus","Colias palaeno","Erebia ligea","Gonepteryx rhamni","Leptidea sinapis","Lycaena virgaureae","Nymphalis antiopa","Nymphalis c-album","Nymphalis urticae","Ochlodes sylvanus","Pieris napi","Plebeius argus","Plebeius eumedon","Plebeius icarus","Plebeius optilete","Plebeius semiargus","Thymelicus lineola"
"butterfly_dec_3_MB_SampleID_1",419862.000002358,6914101.00000531,2005,827.127219200134,4.12499999999999,152,-0.2675,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
"butterfly_dec_3_MB_SampleID_2",419862.000003526,6914101.0000076,2006,615.711711883545,4.06666667759418,152,-0.2075,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1
"butterfly_dec_3_MB_SampleID_3",419862.000006615,6914101.0000048,2007,889.279909133911,4.17500007525087,118,0.173333333333333,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1
"butterfly_dec_3_MB_SampleID_4",292912.000008601,6999066.00000655,2000,696.766389846802,5.17499996721744,128,0.206666666666667,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"butterfly_dec_3_MB_SampleID_5",289413.000006379,7059542.00000941,2005,731.739065647125,4.89166671037674,141,-0.2675,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1
"butterfly_dec_3_MB_SampleID_6",289413.000007965,7059542.00000722,2006,547.173312187195,4.86666662494341,138,-0.2075,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1
"butterfly_dec_3_MB_SampleID_7",289413.00000671,7059542.00000431,2007,742.328784942627,4.5833332190911,99,0.173333333333333,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1
"butterfly_dec_3_MB_SampleID_8",559805.000009583,7118019.00000879,2000,899.953031539917,3.38333328068256,157,0.206666666666667,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1
"butterfly_dec_3_MB_SampleID_9",559805.000004394,7118019.00000964,2001,830.891317367553,1.62500003973643,187,-0.1825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
"butterfly_dec_3_MB_SampleID_10",559805.000002355,7118019.00000915,2002,619.053218841553,1.74166669448217,194,0.0391666666666667,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"butterfly_dec_3_MB_SampleID_11",559805.000006178,7118019.00000998,2003,725.205417633057,2.37500009685755,183,0.0975,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1
"butterfly_dec_3_MB_SampleID_12",532815.000001964,7141510.00000161,2000,745.009239196777,3.40833329347273,168,0.206666666666667,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"butterfly_dec_3_MB_SampleID_13",532815.000009645,7141510.00000892,2001,657.346500396729,1.56666672229767,182,-0.1825,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1
"butterfly_dec_3_MB_SampleID_14",532815.000001223,7141510.00000891,2002,700.723345756531,1.72499992450077,194,0.0391666666666667,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1
