"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anthocharis cardamines","Aphantopus hyperantus","Aporia crataegi","Argynnis aglaja","Boloria euphrosyne","Boloria selene","Brenthis ino","Callophrys rubi","Carterocephalus palaemon","Carterocephalus silvicola","Celastrina argiolus","Colias palaeno","Erebia ligea","Gonepteryx rhamni","Leptidea sinapis","Lycaena phlaeas","Lycaena virgaureae","Melitaea athalia","Nymphalis antiopa","Nymphalis c-album","Nymphalis io","Nymphalis urticae","Ochlodes sylvanus","Papilio machaon","Pararge petropolitana","Pieris napi","Plebeius amandus","Plebeius argus","Plebeius eumedon","Plebeius icarus","Plebeius idas","Plebeius optilete","Plebeius semiargus","Thymelicus lineola","Vanessa atalanta","Vanessa cardui"
"butterfly_dec_4_MB_SampleID_1",419862.000000176,6914101.00000696,2008,1137.79974746704,4.47499995430311,149,-0.378333333333333,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_2",419862.000002092,6914101.00000589,2009,655.605646133423,3.39166674017906,150,-0.243333333333333,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1
"butterfly_dec_4_MB_SampleID_3",419862.000003514,6914101.0000046,2010,722.246128082276,2.14166661103566,177,-1.1525,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
"butterfly_dec_4_MB_SampleID_4",419862.00000495,6914101.00000954,2011,989.975233078002,4.56666655528049,140,0.293333333333333,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0
"butterfly_dec_4_MB_SampleID_5",419862.000000474,6914101.00000459,2012,1043.61058807373,2.78333324193955,167,-0.455833333333333,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_6",419862.000001107,6914101.00000979,2013,796.962188720703,4.59166672329108,155,0.21,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0
"butterfly_dec_4_MB_SampleID_7",419862.000005707,6914101.00000003,2014,726.667907714844,4.83333320915699,114,0.186666666666667,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1
"butterfly_dec_4_MB_SampleID_8",419862.000007916,6914101.00000735,2015,867.245010375976,4.97500007351239,135,0.433333333333333,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
"butterfly_dec_4_MB_SampleID_9",419862.000006523,6914101.00000471,2016,927.861274719237,3.85833328962326,174,-0.0383333333333333,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0
"butterfly_dec_4_MB_SampleID_10",419862.000000177,6914101.00000203,2017,814.410711288452,3.76666662283242,183,0.225833333333333,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
"butterfly_dec_4_MB_SampleID_11",605387.00000398,7028955.00000131,2015,949.558879852296,4.78333331644535,149,0.433333333333333,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0
"butterfly_dec_4_MB_SampleID_12",605387.000008757,7028955.00000594,2016,804.591514587403,3.81666660308838,162,-0.0383333333333333,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1
"butterfly_dec_4_MB_SampleID_13",605387.000004236,7028955.00000669,2017,777.966436386108,3.3583334038655,182,0.225833333333333,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0
"butterfly_dec_4_MB_SampleID_14",289413.000007458,7059542.00000275,2008,758.968127250671,5.00000005960464,127,-0.378333333333333,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"butterfly_dec_4_MB_SampleID_15",289413.000008271,7059542.00000069,2009,592.065729141235,4.1333333849907,130,-0.243333333333333,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
"butterfly_dec_4_MB_SampleID_16",289413.00000141,7059542.00000654,2010,628.643921852112,2.30000005165735,166,-1.1525,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1
"butterfly_dec_4_MB_SampleID_17",289413.000005806,7059542.00000944,2011,748.966709136963,5.07500003774962,121,0.293333333333333,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
"butterfly_dec_4_MB_SampleID_18",289413.000005268,7059542.00000057,2012,817.66420173645,3.55833333233992,143,-0.455833333333333,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0
"butterfly_dec_4_MB_SampleID_19",433355.000001638,7173796.00000831,2008,950.039016723633,3.70833324392636,166,-0.378333333333333,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
