"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Acanthoceras zachariasii","Anathece clathrata","Aphanizomenon flosaquae","Asterionella formosa","Aulacoseira alpigena","Aulacoseira ambigua","Aulacoseira distans","Aulacoseira islandica","Aulacoseira italica","Aulomonas purdyi","Belonastrum berolinensis","Bicosoeca ainikkiae","Bitrichia chodatii","Botryococcus braunii","Ceratium hirundinella","Chrysidiastrum catenatum","Chrysolykos planctonicus","Closterium acutum","Closterium gracile","Closterium pronum","Crucigenia tetrapedia","Cryptomonas marssonii","Cyclotella stelligera","Desmodesmus aculeolatus","Desmodesmus armatus","Desmodesmus bicellularis","Dinobryon acuminatum","Dinobryon bavaricum","Dinobryon borgei","Dinobryon crenulatum","Dinobryon divergens","Dinobryon suecicum","Dolichospermum flosaquae","Dolichospermum lemmermannii","Elakatothrix gelatinosa","Elakatothrix genevensis","Fragilaria crotonensis","Gonyostomum semen","Gyromitus cordiformis","Katablepharis ovalis","Kephyrion boreale","Kephyrion ovale","Koliella spiculiformis","Lanceola spatulifera","Mallomonas akrokomos","Mallomonas caudata","Mallomonas crassisquama","Mallomonas punctifera","Mallomonas tonsurata","Melosira varians","Merismopedia warmingiana","Monoraphidium contortum","Monoraphidium dybowskii","Mucidosphaerium pulchellum","Nitzschia acicularis","Parvodinium inconspicuum","Paulschulzia pseudovolvox","Pediastrum duplex","Planktothrix agardhii","Pseudodidymocystis inconspicua","Pseudosphaerocystis lacustris","Rhizosolenia longiseta","Rhodomonas lacustris","Salpingoeca frequentissima","Snowella atomus","Sphaerocystis schroeteri","Spondylosium planum","Staurastrum avicula","Staurastrum cingulum","Staurastrum paradoxum","Stauridium privum","Stelexomonas dichotoma","Tabellaria fenestrata","Tabellaria flocculosa","Trachelomonas hispida","Trachelomonas volvocinopsis","Ulnaria delicatissima","Ulnaria ulna","Urosolenia eriensis","Woronichinia naegeliana"
"phytoplankton_dec_2_MB_SampleID_1",359899.000005218,6917842.0000016,1990,791.598062515258,4.03333331644535,158,0.594166666666667,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_2",359899.000006432,6917842.00000803,1996,841.388934135438,2.40833327670892,159,-0.214166666666667,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_MB_SampleID_3",349288.000005553,6938072.00000932,1990,752.35209274292,3.89166667560736,155,0.594166666666667,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
"phytoplankton_dec_2_MB_SampleID_4",351292.000000039,6950172.00000297,1990,764.923763275146,3.95833333830039,155,0.594166666666667,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_5",419995.000002176,6956550.00000695,1995,620.935874938965,3.65833330154419,183,-0.0808333333333333,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_6",320026.000002577,6969846.00000833,1990,725.824718475342,4.34999995554487,134,0.594166666666667,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"phytoplankton_dec_2_MB_SampleID_7",384540.000005862,6975276.00000202,1990,746.622386932373,3.89166664580505,136,0.594166666666667,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
"phytoplankton_dec_2_MB_SampleID_8",684006.000000982,6985079.00000578,1988,974.426345825195,2.35833338896434,200,-0.0133333333333333,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"phytoplankton_dec_2_MB_SampleID_9",684006.00000249,6985079.00000526,1989,747.233005523681,4.44166681667169,166,0.701666666666667,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1
"phytoplankton_dec_2_MB_SampleID_10",684006.000006743,6985079.00000413,1990,718.004807472229,2.96666676799456,178,0.594166666666667,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
