"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anathece clathrata","Asterionella formosa","Aulacoseira alpigena","Aulacoseira ambigua","Aulacoseira distans","Aulacoseira islandica","Aulacoseira italica","Bicosoeca planctonica","Bitrichia chodatii","Botryococcus braunii","Ceratium hirundinella","Chrysidiastrum catenatum","Chrysolykos planctonicus","Cryptomonas marssonii","Cyclotella meneghiniana","Cyclotella radiosa","Dinobryon bavaricum","Dinobryon borgei","Dinobryon crenulatum","Dinobryon divergens","Dinobryon sociale","Dinobryon suecicum","Dolichospermum lemmermannii","Elakatothrix gelatinosa","Elakatothrix genevensis","Fragilaria crotonensis","Gyromitus cordiformis","Katablepharis ovalis","Kephyrion ovale","Kephyrion skujae","Kephyrion spirale","Koliella longiseta","Koliella spiculiformis","Mallomonas akrokomos","Mallomonas caudata","Mallomonas punctifera","Mallomonas tonsurata","Monoraphidium contortum","Monoraphidium dybowskii","Mucidosphaerium pulchellum","Parvodinium umbonatum","Paulschulzia pseudovolvox","Planktothrix agardhii","Pseudodidymocystis inconspicua","Pseudokephyrion entzii","Pseudosphaerocystis lacustris","Rhizosolenia longiseta","Rhodomonas lacustris","Snowella atomus","Spondylosium planum","Synedra ulna","Tabellaria fenestrata","Tabellaria flocculosa","Tetraedron minimum","Trachelomonas hispida","Trachelomonas volvocinopsis","Ulnaria delicatissima","Ulnaria ulna","Urosolenia eriensis","Woronichinia naegeliana"
"phytoplankton_dec_2_NB_SampleID_1",578283.000002338,7261634.00000316,1990,623.741711139679,1.16666667660077,180,0.594166666666667,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
"phytoplankton_dec_2_NB_SampleID_2",598874.000003315,7278723.00000182,1990,554.319437742233,0.924999907612802,182,0.594166666666667,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_3",565601.000004688,7296197.0000075,1990,662.816394805908,0.924999888986349,186,0.594166666666667,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_4",565601.000009414,7296197.00000502,1996,811.496398925782,0.341666658719383,215,-0.214166666666667,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
"phytoplankton_dec_2_NB_SampleID_5",608002.000008884,7301979.00000538,1990,472.547567844391,0.641666687404109,184,0.594166666666667,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_6",629825.000009501,7306926.00000098,1990,484.060849666595,0.600000041847429,181,0.594166666666667,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_7",609497.000005227,7310047.00000918,1990,427.181124687195,0.616666724284483,184,0.594166666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_8",625087.000005537,7313906.00000018,1988,440.754289627075,-0.0916667282581334,197,-0.0133333333333333,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1
"phytoplankton_dec_2_NB_SampleID_9",625087.000009743,7313906.00000191,1989,521.967085838318,1.84999997913837,169,0.701666666666667,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
"phytoplankton_dec_2_NB_SampleID_10",625087.000005143,7313906.00000451,1990,484.060849666595,0.600000041847429,181,0.594166666666667,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1
"phytoplankton_dec_2_NB_SampleID_11",625087.000005461,7313906.00000903,1991,731.796947479249,-0.0250000506639383,209,0.268333333333333,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0
"phytoplankton_dec_2_NB_SampleID_12",625087.000008301,7313906.00000496,1992,837.565351486205,0.424999932448067,218,0.580833333333333,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_13",625087.000007365,7313906.00000023,1993,597.580069541931,-0.274999956289928,219,0.179166666666667,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_14",625087.000002214,7313906.00000002,1995,692.928563117981,0.524999986092256,216,-0.0808333333333333,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1
"phytoplankton_dec_2_NB_SampleID_15",509723.000008192,7328467.0000059,1996,658.213165283203,0.724999984105422,216,-0.214166666666667,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
"phytoplankton_dec_2_NB_SampleID_16",564381.000006423,7330833.00000689,1990,607.160888671875,0.83333339045445,190,0.594166666666667,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"phytoplankton_dec_2_NB_SampleID_17",574499.000002698,7333662.00000163,1994,674.377284049988,0.0166666228324161,217,0.575833333333333,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0
"phytoplankton_dec_2_NB_SampleID_18",574499.000001263,7333662.00000344,1995,743.700523376465,0.474999934434898,215,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_19",574499.0000043,7333662.00000231,1996,740.709868431092,0.200000007947281,215,-0.214166666666667,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
"phytoplankton_dec_2_NB_SampleID_20",574499.000002031,7333662.00000034,1997,698.995077133178,-0.0416666865348698,235,-0.156666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
"phytoplankton_dec_2_NB_SampleID_21",550787.000005063,7358562.00000369,1990,596.357511520386,0.799999993294478,190,0.594166666666667,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_22",515427.000009304,7381477.00000043,1990,558.310388088227,1.400000055631,184,0.594166666666667,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_23",515427.000005194,7381477.00000056,1994,566.12215423584,0.625000129143402,201,0.575833333333333,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0
"phytoplankton_dec_2_NB_SampleID_24",515427.000004159,7381477.00000509,1995,649.464722633362,0.925000056624412,216,-0.0808333333333333,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"phytoplankton_dec_2_NB_SampleID_25",515427.00000645,7381477.00000467,1996,672.796904563904,0.816666543483743,202,-0.214166666666667,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
"phytoplankton_dec_2_NB_SampleID_26",530979.000008239,7523531.00000476,1988,669.776725769043,-1.67499998708566,205,-0.0133333333333333,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_27",530979.000003342,7523531.00000182,1990,573.281317710876,-0.199999953309691,185,0.594166666666667,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_28",530979.000006775,7523531.00000413,1994,525.277441978455,-0.800000086426737,198,0.575833333333333,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0
"phytoplankton_dec_2_NB_SampleID_29",489512.000007539,7539030.00000713,1988,533.956893920898,-1.55833331743876,206,-0.0133333333333333,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
