"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Acanthoceras zachariasii","Anathece minutissima","Asterionella formosa","Aulacoseira alpigena","Aulacoseira ambigua","Aulacoseira distans","Aulacoseira italica","Aulacoseira subarctica","Aulomonas purdyi","Bicosoeca ainikkiae","Bicosoeca mitra","Bitrichia chodatii","Botryococcus terribilis","Ceratium hirundinella","Chrysidiastrum catenatum","Chrysolykos planctonicus","Cyanodictyon planctonicum","Cyclotella meneghiniana","Dictyosphaerium subsolitarium","Dinobryon bavaricum","Dinobryon borgei","Dinobryon crenulatum","Dinobryon divergens","Dinobryon sociale","Dinobryon suecicum","Dolichospermum lemmermannii","Elakatothrix gelatinosa","Elakatothrix genevensis","Fragilaria crotonensis","Gonyostomum semen","Gyromitus cordiformis","Katablepharis ovalis","Kephyrion boreale","Kephyrion cupuliforme","Kephyrion ovale","Kephyrion skujae","Koliella longiseta","Koliella spiculiformis","Lanceola spatulifera","Mallomonas akrokomos","Mallomonas caudata","Mallomonas crassisquama","Mallomonas punctifera","Mallomonas tonsurata","Merismopedia warmingiana","Monoraphidium contortum","Monoraphidium dybowskii","Monoraphidium komarkovae","Monoraphidium minutum","Nitzschia acicularis","Parvodinium goslaviense","Parvodinium umbonatum","Planktothrix agardhii","Pseudokephyrion entzii","Rhizosolenia longiseta","Rhodomonas lacustris","Salpingoeca frequentissima","Snowella atomus","Spondylosium planum","Synedra ulna","Tabellaria fenestrata","Tabellaria flocculosa","Telonema subtile","Tetraedron minimum","Ulnaria delicatissima","Ulnaria ulna","Urosolenia eriensis","Woronichinia naegeliana"
"phytoplankton_dec_3_NB_SampleID_1",614734.000008044,7235524.00000909,2000,887.204769134522,2.43333338697752,180,0.206666666666667,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
"phytoplankton_dec_3_NB_SampleID_2",595653.000009934,7242898.00000185,2000,990.697902679444,2.3333332935969,181,0.206666666666667,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1
"phytoplankton_dec_3_NB_SampleID_3",595653.000006689,7242898.00000812,2006,704.848243713379,1.11666671435038,201,-0.2075,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1
"phytoplankton_dec_3_NB_SampleID_4",578283.000003767,7261634.00000094,2000,977.182764053345,2.37499996026358,190,0.206666666666667,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1
"phytoplankton_dec_3_NB_SampleID_5",578283.000004594,7261634.00000207,2007,838.236516952516,1.78333334624766,194,0.173333333333333,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1
"phytoplankton_dec_3_NB_SampleID_6",598874.000002213,7278723.00000732,2000,923.738895416259,2.1500000456969,192,0.206666666666667,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
"phytoplankton_dec_3_NB_SampleID_7",565601.000005616,7296197.00000984,2000,1033.22504997253,2.13333344459534,186,0.206666666666667,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
"phytoplankton_dec_3_NB_SampleID_8",625087.000001826,7313906.00000172,2000,827.902900695801,1.91666673868894,187,0.206666666666667,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1
"phytoplankton_dec_3_NB_SampleID_9",509723.00000371,7328467.00000507,2000,928.695240020753,2.3333332935969,185,0.206666666666667,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1
"phytoplankton_dec_3_NB_SampleID_10",509723.00000855,7328467.00000999,2007,815.26071548462,1.93333333730697,188,0.173333333333333,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1
"phytoplankton_dec_3_NB_SampleID_11",616317.000003783,7329841.00000892,2000,801.778799057007,1.7249998897314,187,0.206666666666667,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
"phytoplankton_dec_3_NB_SampleID_12",574499.000006499,7333662.00000051,1998,928.997829437257,-1.45833335320155,210,-0.480833333333333,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0
