"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_SB_SampleID_1",285640,6641760,1994,704.456776857376,5.46666661898296,105,0.575833333333333,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_2",277740,6653200,1992,770.977087974548,6.49166661004224,57,0.580833333333333,1,0,1,1,0,0,0,0,0,0,1,0,1,1
"mammals_dec_2_SB_SampleID_3",277740,6653200,1995,686.509346008301,6.28333331085741,80,-0.0808333333333333,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_4",277740,6653200,1997,650.11828994751,6.35000002384186,91,-0.156666666666667,1,0,1,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_5",279630,6661210,1996,949.650004386902,4.64166675011318,131,-0.214166666666667,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_6",364450,6662310,1992,657.27651309967,6.37499998385707,87,0.580833333333333,1,0,0,1,0,0,0,0,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_7",293800,6670060,1992,853.310321807861,5.83333339790504,93,0.580833333333333,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"mammals_dec_2_SB_SampleID_8",293800,6670060,1993,879.120190143585,4.87499997019768,98,0.179166666666667,1,0,0,1,0,0,0,0,0,1,0,0,1,1
"mammals_dec_2_SB_SampleID_9",293800,6670060,1995,767.078630447388,5.57500008990367,154,-0.0808333333333333,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_10",293800,6670060,1996,1041.00521087646,4.2333333293597,135,-0.214166666666667,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_11",293800,6670060,1997,813.505475997925,5.66666672130426,95,-0.156666666666667,1,0,0,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_2_SB_SampleID_12",314910,6670370,1993,822.102976441383,4.89166676004728,104,0.179166666666667,1,0,1,1,0,0,0,0,0,0,1,1,1,1
