"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Gulo gulo","Lepus timidus","Lutra lutra","Mustela erminea","Mustela nivalis","Neovison vison","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_NB_SampleID_1",630270,7231510,1998,984.317443847656,-0.616666764020913,208,-0.480833333333333,0,1,1,0,0,1,0,0,1,1
"mammals_dec_3_NB_SampleID_2",630270,7231510,1999,771.354064941406,0.675000081459681,183,0.390833333333333,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_3",632010,7231820,1998,984.317443847656,-0.616666764020913,208,-0.480833333333333,0,1,1,0,0,1,0,0,0,0
"mammals_dec_3_NB_SampleID_4",632010,7231820,1999,771.354064941406,0.675000081459681,183,0.390833333333333,0,0,1,0,0,1,0,1,1,0
"mammals_dec_3_NB_SampleID_5",628310,7232820,1998,984.317443847656,-0.616666764020913,208,-0.480833333333333,1,1,1,0,0,0,0,1,0,0
"mammals_dec_3_NB_SampleID_6",628310,7232820,1999,771.354064941406,0.675000081459681,183,0.390833333333333,0,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_7",628310,7232820,2001,667.084517478943,0.558333357175192,192,-0.1825,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_8",628310,7232820,2004,877.369892120362,1.20000004271667,181,0.2425,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_9",596650,7240020,1998,1021.03900241852,-0.633333375056586,204,-0.480833333333333,0,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_10",596650,7240020,2001,634.286787986755,0.516666591167443,189,-0.1825,0,0,1,0,0,0,1,1,1,1
"mammals_dec_3_NB_SampleID_11",596650,7240020,2002,765.493917465209,0.525000035762788,201,0.0391666666666667,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_12",596650,7240020,2003,686.849370002747,1.22499990463256,201,0.0975,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_13",604400,7243730,1998,1011.11366271973,-0.591666738192242,208,-0.480833333333333,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_14",604400,7243730,2000,916.624979019166,2.38333338499069,180,0.206666666666667,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_15",604400,7243730,2001,635.589931488037,0.574999878803892,190,-0.1825,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_16",604400,7243730,2003,661.82705116272,1.29166677594185,201,0.0975,1,0,1,0,0,1,0,0,0,1
"mammals_dec_3_NB_SampleID_17",604400,7243730,2004,889.081205368041,1.26666661476096,181,0.2425,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_18",569240,7248810,2005,862.470378875733,2.20000006258488,187,-0.2675,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_19",569240,7248810,2006,678.963764190674,1.20833331346513,201,-0.2075,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_20",569240,7248810,2007,907.715324401856,1.75000000248352,187,0.173333333333333,1,0,1,1,0,1,1,1,1,1
"mammals_dec_3_NB_SampleID_21",610970,7253350,2003,650.188193321228,1.16666668653488,197,0.0975,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_22",622800,7256180,1998,998.652929306032,-0.775000015894564,208,-0.480833333333333,1,0,1,1,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_23",622800,7256180,2006,712.012163162232,1.02499995877345,201,-0.2075,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_24",554870,7261250,1998,1029.79816818237,-0.624999950329463,199,-0.480833333333333,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_25",554870,7261250,2000,1005.82550430298,2.36666680375735,179,0.206666666666667,0,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_26",554870,7261250,2001,690.859661102295,0.60833330949148,187,-0.1825,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_27",554870,7261250,2003,768.899520874024,1.21666665871938,198,0.0975,0,0,1,0,0,0,0,1,0,0
"mammals_dec_3_NB_SampleID_28",554870,7261250,2004,848.316431045532,1.38333326578141,179,0.2425,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_29",554870,7261250,2005,826.312954902649,2.19166673719882,187,-0.2675,0,0,1,0,0,0,0,1,0,0
"mammals_dec_3_NB_SampleID_30",554870,7261250,2007,885.627101898193,1.7499998907248,184,0.173333333333333,0,0,1,1,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_31",592840,7263840,1998,1014.43887710571,-0.791666885217039,208,-0.480833333333333,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_32",592840,7263840,1999,797.014421463013,0.600000053644182,182,0.390833333333333,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_33",592840,7263840,2000,959.596780776978,2.23333325485388,191,0.206666666666667,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_34",592840,7263840,2001,646.435284614563,0.491666679581008,193,-0.1825,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_35",592840,7263840,2002,765.153767585755,0.450000077486046,201,0.0391666666666667,1,0,1,0,0,1,0,0,1,1
"mammals_dec_3_NB_SampleID_36",592840,7263840,2003,707.603689193725,1.15833329161009,205,0.0975,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_37",592840,7263840,2004,842.16006374359,1.19166673409443,183,0.2425,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_38",592840,7263840,2006,684.119213104248,1.04166655987501,203,-0.2075,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_39",560690,7269520,2001,696.888878822327,0.541666726271314,181,-0.1825,0,0,1,0,0,0,0,1,0,0
"mammals_dec_3_NB_SampleID_40",560690,7269520,2002,749.865509033204,0.474999944369004,194,0.0391666666666667,0,0,1,0,0,0,0,1,0,0
"mammals_dec_3_NB_SampleID_41",560690,7269520,2003,785.918053627014,1.15833342075348,194,0.0975,0,0,1,0,1,0,0,1,0,1
"mammals_dec_3_NB_SampleID_42",560690,7269520,2004,842.322219371795,1.33333329608044,177,0.2425,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_43",560690,7269520,2005,799.399354934692,2.15833347539107,187,-0.2675,1,0,1,1,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_44",560690,7269520,2006,650.692999839782,1.10833327223857,192,-0.2075,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_45",560690,7269520,2007,855.563143730163,1.67499998460212,184,0.173333333333333,1,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_46",532590,7271550,1998,1074.24437522888,-0.391666700442628,198,-0.480833333333333,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_47",532590,7271550,2002,717.742429733275,0.724999964237214,197,0.0391666666666667,0,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_48",532590,7271550,2003,739.162645339966,1.39166664083799,197,0.0975,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_49",532590,7271550,2004,851.395486831666,1.54166670143604,179,0.2425,0,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_50",532590,7271550,2005,790.742589950561,2.2999999175469,189,-0.2675,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_51",532590,7271550,2006,624.419479370117,1.41666661947966,192,-0.2075,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_52",550650,7271590,1998,1047.67428016663,-0.641666611035667,198,-0.480833333333333,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_53",550650,7271590,1999,888.631059646606,0.708333412806186,182,0.390833333333333,0,0,1,0,0,0,0,1,1,0
