"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_SB_SampleID_1",285640,6640050,2000,747.103494644165,7.3083332994332,58,0.206666666666667,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_2",282540,6640280,2002,575.845092773438,6.29166660519939,102,0.0391666666666667,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_3_SB_SampleID_3",288570,6640650,2000,747.103494644165,7.3083332994332,58,0.206666666666667,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_4",288570,6640650,2001,824.185962677002,6.2083333649983,93,-0.1825,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_5",298370,6643180,2002,532.113840103149,6.26666646699111,99,0.0391666666666667,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_3_SB_SampleID_6",303360,6646210,2002,532.113840103149,6.26666646699111,99,0.0391666666666667,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_7",282120,6647670,2003,589.896201133727,5.50833345949649,114,0.0975,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_8",282120,6647670,2006,674.342752456665,6.62499999999999,102,-0.2075,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_9",308750,6648030,2007,883.681462287903,6.64166651169459,80,0.173333333333333,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_10",289880,6649230,2001,860.489128112793,5.93333342174689,125,-0.1825,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
"mammals_dec_3_SB_SampleID_11",289880,6649230,2002,600.170348644257,5.98333331445853,128,0.0391666666666667,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1
"mammals_dec_3_SB_SampleID_12",289880,6649230,2003,589.163998603821,5.45833328862985,117,0.0975,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_13",277710,6649570,2006,674.342752456665,6.62499999999999,102,-0.2075,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_14",299650,6650410,2002,596.755928039551,5.9166667237878,140,0.0391666666666667,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_15",305660,6650490,2001,788.316061019897,5.80000002682208,131,-0.1825,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1
"mammals_dec_3_SB_SampleID_16",305660,6650490,2002,596.759263038635,5.89999999602637,145,0.0391666666666667,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_3_SB_SampleID_17",305660,6650490,2003,587.174005508423,5.3833332657814,118,0.0975,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_3_SB_SampleID_18",310350,6650530,2001,788.316061019897,5.80000002682208,131,-0.1825,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_19",293690,6651770,2001,829.551565170288,5.83333335320154,131,-0.1825,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_20",293690,6651770,2002,596.755928039551,5.9166667237878,140,0.0391666666666667,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_21",327020,6651770,2001,682.574928283692,5.90833312273025,106,-0.1825,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_22",273540,6652450,2006,678.559508800507,6.74166663487752,99,-0.2075,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_23",279770,6652650,2001,875.034748077393,6.04166671137015,113,-0.1825,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
