"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_MB_SampleID_1",323460,6857580,2009,688.175701141357,4.04166667660077,137,-0.243333333333333,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
"mammals_dec_4_MB_SampleID_2",323460,6857580,2011,815.72357749939,5.15000003576279,138,0.293333333333333,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
"mammals_dec_4_MB_SampleID_3",229290,6863600,2008,899.134387493134,5.99999996212621,117,-0.378333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_4",229290,6863600,2010,596.051315307617,3.35000004371007,155,-1.1525,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_5",229290,6863600,2011,970.372104644777,6.01666670044262,133,0.293333333333333,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
"mammals_dec_4_MB_SampleID_6",229290,6863600,2013,736.842599868775,5.80833344658216,132,0.21,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_7",229290,6863600,2015,897.342279434205,6.48333331942558,97,0.433333333333333,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
"mammals_dec_4_MB_SampleID_8",229290,6863600,2016,702.206736564636,5.22500007351239,116,-0.0383333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_9",305800,6869240,2009,684.369232177735,3.93333330750466,129,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_10",305800,6869240,2010,709.133815765381,2.63333330551782,162,-1.1525,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_11",305800,6869240,2014,684.209459304809,5.30000009139378,84,0.186666666666667,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"mammals_dec_4_MB_SampleID_12",258540,6869250,2014,706.774174690247,5.61666663487752,70,0.186666666666667,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
"mammals_dec_4_MB_SampleID_13",258540,6869250,2017,803.805229187012,4.60833327844739,141,0.225833333333333,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
"mammals_dec_4_MB_SampleID_14",234370,6870250,2008,932.903132915498,5.71666659911473,129,-0.378333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_15",274460,6870260,2014,708.504580497742,5.50833337505659,67,0.186666666666667,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
"mammals_dec_4_MB_SampleID_16",274460,6870260,2015,874.284769058227,5.76666667809089,104,0.433333333333333,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"mammals_dec_4_MB_SampleID_17",274460,6870260,2016,762.263395309448,4.6166667342186,124,-0.0383333333333333,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_18",241330,6873490,2016,708.274819374084,4.95833325882753,127,-0.0383333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"mammals_dec_4_MB_SampleID_19",234820,6873990,2013,742.676879882812,5.50833323101203,133,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_20",240760,6874090,2011,950.279802322389,5.73333335419497,134,0.293333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_21",240760,6874090,2012,1166.3750038147,4.049999995778,145,-0.455833333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_22",240760,6874090,2013,742.676879882812,5.50833323101203,133,0.21,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
