"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_SB_SampleID_1",298370,6643180,2009,645.979214906693,6.30000005165736,95,-0.243333333333333,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1
"mammals_dec_4_SB_SampleID_2",303360,6646210,2011,961.071420669555,7.03333324193955,107,0.293333333333333,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1
"mammals_dec_4_SB_SampleID_3",277710,6649570,2012,1074.24138641357,5.81666671733062,125,-0.455833333333333,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_4_SB_SampleID_4",305660,6650490,2008,936.211152076722,7.29999992872277,59,-0.378333333333333,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_4_SB_SampleID_5",310350,6650530,2015,803.234016418457,7.34999996920427,60,0.433333333333333,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1
"mammals_dec_4_SB_SampleID_6",293690,6651770,2012,1091.34212493897,5.61666670441628,137,-0.455833333333333,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"mammals_dec_4_SB_SampleID_7",327020,6651770,2008,872.76310634613,7.41666659774879,29,-0.378333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_4_SB_SampleID_8",327020,6651770,2011,884.303176879883,6.86666657527287,109,0.293333333333333,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
"mammals_dec_4_SB_SampleID_9",279770,6652650,2008,959.128354072571,7.49999999130766,32,-0.378333333333333,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_4_SB_SampleID_10",308360,6652930,2013,668.552993774414,6.41666664679845,117,0.21,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_SB_SampleID_11",308360,6652930,2016,792.949271202088,6.24166666840513,104,-0.0383333333333333,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1
"mammals_dec_4_SB_SampleID_12",276480,6653730,2009,683.509106397629,6.11666667461395,108,-0.243333333333333,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1
"mammals_dec_4_SB_SampleID_13",276480,6653730,2012,1074.24138641357,5.81666671733062,125,-0.455833333333333,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_4_SB_SampleID_14",272820,6654450,2008,949.106264591218,7.6833333770434,29,-0.378333333333333,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1
"mammals_dec_4_SB_SampleID_15",286090,6656070,2010,691.482707977295,4.64166676998139,145,-1.1525,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1
"mammals_dec_4_SB_SampleID_16",286090,6656070,2013,667.588953018188,6.43333343664805,115,0.21,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1
"mammals_dec_4_SB_SampleID_17",286090,6656070,2016,785.947202682495,6.25000006270906,107,-0.0383333333333333,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1
