"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Carsia sororiata","Cerapteryx graminis","Coenocalpe lapidata","Diarsia mendica","Dysstroma citratum","Dysstroma truncatum","Ecliptopera silaceata","Elophos vittaria","Entephria caesiata","Epirrita autumnata","Eulithis populata","Eulithis prunata","Eulithis testata","Eupithecia intricata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia vulgata","Hepialus fusconebulosus","Hillia iris","Hydriomena furcata","Hydriomena ruberata","Lithomoia solidaginis","Macaria brunneata","Macaria loricaria","Operophtera brumata","Orthosia gothica","Parastichtis suspecta","Perizoma albulatum","Poecilocampa populi","Scopula ternata","Selenia dentaria","Syngrapha interrogationis","Thera juniperata","Thera obeliscata","Trichiura crataegi","Xanthorhoe decoloraria","Xestia alpicola","Xestia speciosa"
"moth_dec_2_NB_SampleID_1",613428.00000495,7363124.00000594,1993,573.751401901245,-0.650000015894569,212,0.179166666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
"moth_dec_2_NB_SampleID_2",613428.000006741,7363124.00000694,1994,700.670522212982,-0.34166679282982,207,0.575833333333333,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"moth_dec_2_NB_SampleID_3",613428.000001212,7363124.00000484,1995,769.765434265137,-0.0333333412806107,213,-0.0808333333333333,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"moth_dec_2_NB_SampleID_4",613428.000008321,7363124.00000392,1996,718.131766319275,-0.241666714350377,212,-0.214166666666667,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1
"moth_dec_2_NB_SampleID_5",613428.000002277,7363124.00000466,1997,679.255771636963,-0.566666613022477,232,-0.156666666666667,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1
"moth_dec_2_NB_SampleID_6",613380.000001999,7363357.00000817,1993,573.751401901245,-0.650000015894569,212,0.179166666666667,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1
"moth_dec_2_NB_SampleID_7",613380.000001187,7363357.00000658,1994,700.670522212982,-0.34166679282982,207,0.575833333333333,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"moth_dec_2_NB_SampleID_8",613380.000002156,7363357.00000551,1995,769.765434265137,-0.0333333412806107,213,-0.0808333333333333,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
"moth_dec_2_NB_SampleID_9",613380.000007635,7363357.00000289,1996,718.131766319275,-0.241666714350377,212,-0.214166666666667,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
"moth_dec_2_NB_SampleID_10",613380.000004679,7363357.00000872,1997,679.255771636963,-0.566666613022477,232,-0.156666666666667,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0
