"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Abraxas grossulariatus","Abrostola tripartita","Acasis viretata","Achlya flavicornis","Acronicta auricoma","Acronicta leporina","Acronicta megacephala","Acronicta psi","Acronicta rumicis","Actebia praecox","Actinotia polyodon","Aethalura punctulata","Aglia tau","Agriopis aurantiaria","Agrochola circellaris","Agrochola helvola","Agrochola litura","Agrochola lota","Agrochola macilenta","Agrotis clavis","Agrotis exclamationis","Agrotis vestigialis","Alcis repandatus","Allophyes oxyacanthae","Ammoconia caecimacula","Amphipoea fucosa","Amphipoea lucens","Amphipoea oculea","Amphipyra perflua","Amphipyra tragopoginis","Anaplectoides prasinus","Angerona prunaria","Anticlea badiata","Anticlea derivata","Anticollix sparsatus","Antitype chi","Apamea crenata","Apamea furva","Apamea illyria","Apamea lateritia","Apamea monoglypha","Apamea ophiogramma","Apamea remissa","Apamea rubrirena","Apamea scolopacina","Apamea sordens","Apamea sublustris","Apamea unanimis","Aplocera praeformata","Arctia caja","Arenostola phragmitidis","Arichanna melanaria","Athetis pallustris","Autographa bractea","Autographa buraetica","Autographa gamma","Autographa jota","Autographa macrogamma","Autographa pulchrina","Biston betularius","Brachionycha nubeculosa","Brachylomia viminalis","Bupalus piniarius","Cabera exanthemata","Cabera pusaria","Calliteara abietis","Campaea margaritaria","Camptogramma bilineatum","Caradrina morpheus","Carsia sororiata","Catarhoe cuculata","Catocala adultera","Catocala fraxini","Celaena haworthii","Celaena leucostigma","Cepphis advenaria","Cerapteryx graminis","Cerastis leucographa","Cerastis rubricosa","Charissa obscurata","Chersotis cuprea","Chiasmia clathrata","Chilodes maritimus","Chloroclysta miata","Chloroclysta siterata","Chortodes fluxus","Cidaria fulvata","Cleora cinctaria","Clostera anachoreta","Clostera curtula","Clostera pigra","Coenocalpe lapidata","Coenophila subrosea","Colobochyla salicalis","Colocasia coryli","Colostygia aptata","Colostygia olivata","Colostygia pectinataria","Colotois pennaria","Conistra rubiginea","Conistra vaccinii","Coscinia cribraria","Cosmia trapezina","Cosmorhoe ocellata","Crocallis elinguaria","Cryphia raptricula","Crypsedra gemmea","Cryptocala chardinyi","Cybosia mesomella","Cyclophora albipunctata","Dasypolia templi","Deilephila elpenor","Deilephila porcellus","Deileptenia ribeata","Deltote uncula","Dendrolimus pini","Diachrysia chrysitis","Diachrysia tutti","Diacrisia sannio","Diaphora mendica","Diarsia brunnea","Diarsia dahlii","Diarsia mendica","Diarsia rubi","Dichonia aprilina","Drepana curvatula","Drepana falcataria","Dypterygia scabriuscula","Dysstroma citratum","Dysstroma latefasciatum","Dysstroma truncatum","Ecliptopera silaceata","Ectropis crepuscularia","Eilema complanum","Eilema depressum","Eilema lurideolum","Eilema lutarellum","Electrophaes corylata","Elophos vittaria","Enargia paleacea","Endromis versicolora","Ennomos alniarius","Ennomos autumnarius","Entephria caesiata","Epione repandaria","Epione vespertaria","Epirranthis diversata","Epirrhoe alternata","Epirrita autumnata","Epirrita christyi","Erannis defoliaria","Euchoeca nebulata","Eugnorisma depunctum","Eulithis mellinata","Eulithis populata","Eulithis prunata","Eulithis pyraliata","Eulithis testata","Euphyia unangulata","Eupithecia abietaria","Eupithecia absinthiata","Eupithecia actaeata","Eupithecia assimilata","Eupithecia centaureata","Eupithecia conterminata","Eupithecia denotata","Eupithecia exiguata","Eupithecia icterata","Eupithecia immundata","Eupithecia indigata","Eupithecia intricata","Eupithecia inturbata","Eupithecia lanceata","Eupithecia linariata","Eupithecia nanata","Eupithecia pimpinellata","Eupithecia plumbeolata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia sinuosaria","Eupithecia subfuscata","Eupithecia succenturiata","Eupithecia tantillaria","Eupithecia tenuiata","Eupithecia tripunctaria","Eupithecia trisignaria","Eupithecia valerianata","Eupithecia venosata","Eupithecia virgaureata","Eupithecia vulgata","Euplexia lucipara","Eupsilia transversa","Eurois occultus","Euthrix potatoria","Euxoa nigricans","Euxoa obelisca","Euxoa tritici","Falcaria lacertinaria","Furcula bifida","Furcula furcula","Geometra papilionaria","Gluphisia crenata","Gnophos obfuscatus","Gortyna flavago","Graphiphora augur","Gymnoscelis rufifasciata","Hada plebeja","Hadena bicruris","Hadena confusa","Hadula trifolii","Hepialus fusconebulosus","Hepialus ganna","Hepialus humuli","Hepialus sylvinus","Herminia grisealis","Herminia tarsipennalis","Heterothera serraria","Hillia iris","Hoplodrina blanda","Hoplodrina octogenaria","Horisme tersata","Hydraecia micacea","Hydraecia nordstroemi","Hydrelia flammeolaria","Hydrelia sylvata","Hydriomena furcata","Hydriomena impluviata","Hydriomena ruberata","Hylaea fasciaria","Hyles gallii","Hypena crassalis","Hypena proboscidalis","Hypena rostralis","Hypomecis roboraria","Hyppa rectilinea","Idaea aversata","Idaea biselata","Idaea deversaria","Idaea dimidiata","Idaea emarginata","Idaea humiliata","Idaea pallidata","Idaea straminata","Idaea sylvestraria","Ipimorpha retusa","Ipimorpha subtusa","Jodis putata","Lacanobia contigua","Lacanobia oleracea","Lacanobia suasa","Lacanobia thalassina","Lampropteryx otregiata","Lampropteryx suffumata","Laothoe amurensis","Laothoe populi","Larentia clavaria","Lasiocampa quercus","Lasionycta imbecilla","Lasionycta proxima","Laspeyria flexula","Leucodonta bicoloria","Leucoma salicis","Lithomoia solidaginis","Lithophane consocia","Lithophane furcifera","Lithophane hepatica","Lithophane lamda","Lobophora halterata","Lomaspilis marginata","Lomographa bimaculata","Lomographa temerata","Lycia hirtaria","Lycia pomonaria","Lycophotia porphyrea","Lygephila pastinum","Macaria alternata","Macaria brunneata","Macaria liturata","Macaria loricaria","Macaria notata","Macaria signaria","Macaria wauaria","Macrochilo cribrumalis","Macrothylacia rubi","Martania taeniata","Meganola strigula","Melanchra pisi","Mesapamea secalis","Mesoleuca albicillata","Mesoligia furuncula","Mesoligia literosa","Mesotype didymata","Mesotype parallelolineata","Miltochrista miniata","Mimas tiliae","Mniotype adusta","Mniotype satura","Mythimna comma","Mythimna conigera","Mythimna ferrago","Mythimna impura","Mythimna obsoleta","Mythimna pallens","Mythimna straminea","Naenia typica","Noctua fimbriata","Noctua pronuba","Nola aerugula","Nola cucullatella","Nonagria typhae","Notodonta dromedarius","Notodonta torva","Notodonta ziczac","Nudaria mundana","Nycteola degenerana","Ochropacha duplaris","Ochropleura plecta","Ochyria quadrifasiata","Odontopera bidentata","Odontosia carmelita","Odontosia sieversi","Oligia latruncula","Oligia strigilis","Operophtera brumata","Operophtera fagata","Opisthograptis luteolata","Orthonama vittatum","Orthosia cerasi","Orthosia cruda","Orthosia gothica","Orthosia gracilis","Orthosia incerta","Orthosia opima","Orthosia populeti","Panolis flammea","Papestra biren","Paracolax tristalis","Paradrina selini","Parascotia fuliginaria","Parastichtis suspecta","Parastichtis ypsillon","Pasiphila chloerata","Pasiphila debiliata","Pasiphila rectangulata","Pelurga comitata","Perizoma affinitatum","Perizoma albulatum","Perizoma alchemillatum","Perizoma bifaciatum","Perizoma blandiatum","Perizoma flavofasciatum","Perizoma hydratum","Petrophora chlorosata","Phalera bucephala","Pheosia gnoma","Pheosia tremula","Phigalia pilosaria","Photedes minima","Phragmatobia fuliginosa","Phyllodesma ilicifolium","Plagodis dolabraria","Plagodis pulveraria","Platyperigea montana","Plemyria rubiginata","Plusia festucae","Plusia putnami subsp. gracilis","Poecilocampa populi","Polia bombycina","Polia nebulosa","Polia trimaculosa","Polychrysia moneta","Polypogon strigilatus","Polypogon tentacularius","Protolampra sobrina","Pseudoips prasinanus","Pterapherapteryx sexalata","Pterostoma palpinum","Ptilodon capucinus","Pygaera timon","Rheumaptera undulata","Rhizedra lutosa","Rhodostrophia vibicaria","Rivula sericealis","Rusina ferruginea","Schrankia costaestrigalis","Scoliopteryx libatrix","Scopula floslactata","Scopula immorata","Scopula immutata","Scopula incanata","Scopula ternata","Scotopteryx chenopodiata","Sedina pygmina","Selenia dentaria","Selenia tetralunaria","Sideridis reticulata","Sideridis rivularis","Siona lineata","Smerinthus ocellatus","Spargania luctuata","Sphinx ligustri","Sphinx pinastri","Spilosoma lubricipedum","Spilosoma luteum","Staurophora celsia","Syngrapha interrogationis","Tethea or","Tetheella fluctuosa","Thera cognata","Thera firmata","Thera juniperata","Thera obeliscata","Thera variata","Thetidia smaragdaria","Tholera cespitis","Tholera decimalis","Thumatha senex","Thyatira batis","Tiliacea citrago","Timandra comai","Timandra griseata","Trichiura crataegi","Trichopteryx carpinata","Trichopteryx polycommata","Trisateles emortualis","Venusia cambrica","Xanthia icteritia","Xanthia togata","Xanthorhoe annotinata","Xanthorhoe decoloraria","Xanthorhoe designata","Xanthorhoe ferrugata","Xanthorhoe fluctuata","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia alpicola","Xestia baja","Xestia c-nigrum","Xestia collina","Xestia sexstrigata","Xestia speciosa","Xestia triangulum","Xestia xanthographa","Xylena vetusta"
"moth_dec_2_SB_SampleID_1",289419.000004562,6639974.00000507,1993,711.599650859833,5.68333334227403,66,0.179166666666667,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0
"moth_dec_2_SB_SampleID_2",289419.000001871,6639974.00000398,1994,704.456776857376,5.46666661898296,105,0.575833333333333,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0
"moth_dec_2_SB_SampleID_3",289419.000003385,6639974.00000509,1995,619.121273040771,6.41666681071123,85,-0.0808333333333333,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1
"moth_dec_2_SB_SampleID_4",289419.00000423,6639974.00000868,1996,891.454479694365,4.81666672229767,128,-0.214166666666667,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1
"moth_dec_2_SB_SampleID_5",289419.000001315,6639974.00000264,1997,587.571578979492,6.45833331346512,82,-0.156666666666667,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"moth_dec_2_SB_SampleID_6",298050.000004919,6649625.00000893,1994,772.660259246826,5.14166662096977,105,0.575833333333333,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1
"moth_dec_2_SB_SampleID_7",298050.000007866,6649625.00000955,1995,659.336309432983,5.99166668765248,120,-0.0808333333333333,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
"moth_dec_2_SB_SampleID_8",298050.000002881,6649625.00000058,1996,967.608863830566,4.53333334128062,133,-0.214166666666667,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1
"moth_dec_2_SB_SampleID_9",298050.000004322,6649625.00000989,1997,702.860687255859,6.09166659290592,91,-0.156666666666667,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"moth_dec_2_SB_SampleID_10",221166.00000183,6688743.00000765,1993,723.244604587555,5.65833341702819,71,0.179166666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0
