"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Abraxas sylvatus","Abrostola tripartita","Achlya flavicornis","Acronicta auricoma","Acronicta megacephala","Acronicta psi","Acronicta rumicis","Actebia praecox","Aethalura punctulata","Agrochola circellaris","Agrochola helvola","Agrochola lota","Agrotis vestigialis","Alcis jubatus","Alcis repandatus","Allophyes oxyacanthae","Amphipoea fucosa","Amphipoea lucens","Amphipoea oculea","Amphipyra tragopoginis","Anaplectoides prasinus","Anticollix sparsatus","Antitype chi","Apamea crenata","Apamea furva","Apamea illyria","Apamea lateritia","Apamea remissa","Apamea rubrirena","Aplocera praeformata","Arctia caja","Arichanna melanaria","Athetis pallustris","Autographa bractea","Autographa buraetica","Autographa excelsa","Autographa gamma","Autographa macrogamma","Autographa pulchrina","Biston betularius","Brachionycha nubeculosa","Brachylomia viminalis","Bupalus piniarius","Cabera exanthemata","Cabera pusaria","Caradrina morpheus","Carsia sororiata","Catocala adultera","Catocala fraxini","Celaena haworthii","Celaena leucostigma","Cerapteryx graminis","Cerastis rubricosa","Chersotis cuprea","Chiasmia clathrata","Chloroclysta miata","Chortodes elymi","Chortodes fluxus","Cidaria fulvata","Cleora cinctaria","Clostera anachoreta","Clostera curtula","Clostera pigra","Coenocalpe lapidata","Coenophila subrosea","Colocasia coryli","Colostygia pectinataria","Conistra vaccinii","Coscinia cribraria","Cosmia trapezina","Cosmorhoe ocellata","Crocallis elinguaria","Crypsedra gemmea","Cryptocala chardinyi","Cybosia mesomella","Cyclophora albipunctata","Dasypolia templi","Deilephila elpenor","Dendrolimus pini","Diachrysia chrysitis","Diachrysia tutti","Diacrisia sannio","Diarsia brunnea","Diarsia dahlii","Diarsia mendica","Diarsia rubi","Drepana falcataria","Dysstroma citratum","Dysstroma latefasciatum","Dysstroma truncatum","Ecliptopera silaceata","Ectropis crepuscularia","Eilema lurideolum","Eilema lutarellum","Electrophaes corylata","Elophos vittaria","Ematurga atomaria","Enargia paleacea","Endromis versicolora","Ennomos alniarius","Ennomos autumnarius","Entephria caesiata","Epione repandaria","Epione vespertaria","Epirranthis diversata","Epirrhoe alternata","Epirrita autumnata","Euchoeca nebulata","Eulithis mellinata","Eulithis populata","Eulithis prunata","Eulithis pyraliata","Eulithis testata","Euphyia unangulata","Eupithecia abietaria","Eupithecia absinthiata","Eupithecia assimilata","Eupithecia centaureata","Eupithecia conterminata","Eupithecia denotata","Eupithecia exiguata","Eupithecia gelidata","Eupithecia icterata","Eupithecia indigata","Eupithecia intricata","Eupithecia lanceata","Eupithecia linariata","Eupithecia nanata","Eupithecia plumbeolata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia sinuosaria","Eupithecia subfuscata","Eupithecia succenturiata","Eupithecia tantillaria","Eupithecia tenuiata","Eupithecia virgaureata","Eupithecia vulgata","Euplexia lucipara","Eurois occultus","Euxoa cursoria","Euxoa nigricans","Euxoa tritici","Falcaria lacertinaria","Geometra papilionaria","Graphiphora augur","Hada plebeja","Hepialus fusconebulosus","Hepialus ganna","Hepialus hecta","Heterothera serraria","Hillia iris","Hydraecia micacea","Hydrelia flammeolaria","Hydrelia sylvata","Hydriomena furcata","Hydriomena impluviata","Hydriomena ruberata","Hylaea fasciaria","Hyles gallii","Hypena crassalis","Hypena proboscidalis","Hypenodes humidalis","Hyppa rectilinea","Idaea aversata","Idaea biselata","Idaea dimidiata","Idaea pallidata","Idaea straminata","Idaea sylvestraria","Ipimorpha subtusa","Jodis putata","Lacanobia contigua","Lacanobia suasa","Lacanobia thalassina","Lampropteryx otregiata","Lampropteryx suffumata","Laothoe populi","Leucoma salicis","Lithomoia solidaginis","Lithophane consocia","Lithophane hepatica","Lithophane lamda","Lomaspilis marginata","Lomographa temerata","Lycia hirtaria","Lycia pomonaria","Lycophotia porphyrea","Macaria alternata","Macaria brunneata","Macaria liturata","Macaria loricaria","Macaria notata","Macaria signaria","Macaria wauaria","Macrothylacia rubi","Malacodea regelaria","Martania taeniata","Melanchra pisi","Mesapamea secalis","Mesoleuca albicillata","Mesoligia literosa","Mesotype didymata","Mesotype parallelolineata","Mniotype adusta","Mythimna conigera","Mythimna impura","Noctua pronuba","Notodonta dromedarius","Notodonta torva","Notodonta ziczac","Nycteola degenerana","Ochropacha duplaris","Ochropleura plecta","Ochyria quadrifasiata","Odezia atrata","Odontopera bidentata","Odontosia carmelita","Odontosia sieversi","Oligia latruncula","Operophtera brumata","Operophtera fagata","Opisthograptis luteolata","Orgyia antiqua","Orthosia gothica","Orthosia incerta","Orthosia opima","Orthosia populeti","Panolis flammea","Papestra biren","Parascotia fuliginaria","Parastichtis suspecta","Pasiphila debiliata","Pasiphila rectangulata","Pelurga comitata","Perizoma affinitatum","Perizoma albulatum","Perizoma alchemillatum","Perizoma blandiatum","Phalera bucephala","Pheosia gnoma","Pheosia tremula","Photedes minima","Plagodis pulveraria","Platyperigea montana","Plemyria rubiginata","Plusia festucae","Plusia putnami subsp. gracilis","Poecilocampa populi","Polia trimaculosa","Polychrysia moneta","Polypogon strigilatus","Polypogon tentacularius","Protolampra sobrina","Pterapherapteryx sexalata","Pterostoma palpinum","Ptilodon capucinus","Rheumaptera hastata","Rheumaptera undulata","Rhizedra lutosa","Rivula sericealis","Rusina ferruginea","Scoliopteryx libatrix","Scopula floslactata","Scopula immorata","Scopula immutata","Scopula ternata","Scotopteryx chenopodiata","Sedina pygmina","Selenia dentaria","Selenia tetralunaria","Sideridis rivularis","Spargania luctuata","Sphinx pinastri","Spilosoma lubricipedum","Staurophora celsia","Syngrapha interrogationis","Tethea or","Thera firmata","Thera juniperata","Thera obeliscata","Thera variata","Tholera cespitis","Thumatha senex","Thyatira batis","Timandra griseata","Trichiura crataegi","Trichopteryx carpinata","Venusia cambrica","Xanthia icteritia","Xanthia togata","Xanthorhoe annotinata","Xanthorhoe decoloraria","Xanthorhoe designata","Xanthorhoe ferrugata","Xanthorhoe fluctuata","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia alpicola","Xestia baja","Xestia c-nigrum","Xestia fennica","Xestia sexstrigata","Xestia speciosa","Xylena vetusta"
"moth_dec_3_MB_SampleID_1",309216.000008582,6876228.0000086,1998,916.165130615235,3.02499995628993,174,-0.480833333333333,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
"moth_dec_3_MB_SampleID_2",309216.000008539,6876228.00000468,1999,766.899171829224,3.88333319624264,153,0.390833333333333,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0
"moth_dec_3_MB_SampleID_3",309216.000008453,6876228.00000914,2000,902.412845611573,5.0833333482345,135,0.206666666666667,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0
"moth_dec_3_MB_SampleID_4",309216.000005737,6876228.00000913,2001,827.969579696655,3.60000001390775,168,-0.1825,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
"moth_dec_3_MB_SampleID_5",309216.000006366,6876228.00000743,2002,763.155209779739,3.84166660904884,178,0.0391666666666667,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"moth_dec_3_MB_SampleID_6",309216.000008971,6876228.00000646,2003,741.963201522827,3.77499999602635,153,0.0975,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"moth_dec_3_MB_SampleID_7",309216.000003756,6876228.00000409,2004,878.407697916032,4.0499999920527,156,0.2425,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1
"moth_dec_3_MB_SampleID_8",309216.000001065,6876228.00000947,2005,923.155366420747,4.46666675806046,157,-0.2675,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0
"moth_dec_3_MB_SampleID_9",309216.000000469,6876228.00000714,2006,715.943667411805,4.75000016142925,156,-0.2075,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1
"moth_dec_3_MB_SampleID_10",309216.000001348,6876228.00000835,2007,897.793540954589,4.62499999503295,118,0.173333333333333,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1
