"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrochola helvola","Arichanna melanaria","Autographa pulchrina","Cabera exanthemata","Carsia sororiata","Celaena haworthii","Cerapteryx graminis","Coenocalpe lapidata","Cyclophora albipunctata","Diarsia mendica","Dysstroma citratum","Dysstroma truncatum","Ecliptopera silaceata","Elophos vittaria","Entephria caesiata","Epione repandaria","Epirrita autumnata","Eulithis populata","Eulithis testata","Eupithecia gelidata","Eupithecia intricata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia vulgata","Eurois occultus","Falcaria lacertinaria","Hepialus fusconebulosus","Hillia iris","Hydriomena furcata","Hydriomena ruberata","Lithomoia solidaginis","Macaria brunneata","Macaria loricaria","Ochropacha duplaris","Operophtera brumata","Operophtera fagata","Orthosia gothica","Parastichtis suspecta","Poecilocampa populi","Pterostoma palpinum","Scopula ternata","Selenia dentaria","Selenia tetralunaria","Spargania luctuata","Syngrapha interrogationis","Thera juniperata","Trichiura crataegi","Xanthia icteritia","Xanthia togata","Xanthorhoe annotinata","Xanthorhoe decoloraria","Xanthorhoe ferrugata","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia alpicola","Xestia speciosa"
"moth_dec_3_NB_SampleID_1",613428.000007842,7363124.00000778,1998,905.225944519043,-2.19999995330969,207,-0.480833333333333,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0
"moth_dec_3_NB_SampleID_2",613428.000001974,7363124.00000298,1999,728.346874237061,-0.358333259820943,200,0.390833333333333,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"moth_dec_3_NB_SampleID_3",613428.000009307,7363124.0000074,2000,717.868549346924,1.50833331048488,183,0.206666666666667,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1
"moth_dec_3_NB_SampleID_4",613380.000009089,7363357.00000447,1998,905.225944519043,-2.19999995330969,207,-0.480833333333333,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
"moth_dec_3_NB_SampleID_5",613380.000007682,7363357.0000041,1999,728.346874237061,-0.358333259820943,200,0.390833333333333,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1
"moth_dec_3_NB_SampleID_6",613380.000005564,7363357.00000599,2000,717.868549346924,1.50833331048488,183,0.206666666666667,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0
"moth_dec_3_NB_SampleID_7",613380.00000485,7363357.00000844,2001,590.944886207581,-0.583333293596906,195,-0.1825,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1
"moth_dec_3_NB_SampleID_8",360613.000007875,7466011.00000686,1998,981.74017906189,-1.23333332935969,205,-0.480833333333333,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"moth_dec_3_NB_SampleID_9",360613.000007185,7466011.00000896,1999,815.983404159546,-0.0416667759418445,185,0.390833333333333,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1
"moth_dec_3_NB_SampleID_10",360613.000009468,7466011.00000284,2000,800.793800354004,1.25833343962828,195,0.206666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1
"moth_dec_3_NB_SampleID_11",360613.000001916,7466011.00000515,2001,845.726484298707,-5.71211213745704e-08,186,-0.1825,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1
"moth_dec_3_NB_SampleID_12",360613.000005745,7466011.00000276,2002,761.7727060318,-0.0999999443690035,189,0.0391666666666667,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
"moth_dec_3_NB_SampleID_13",360613.000005001,7466011.00000125,2003,565.815534591675,0.616666723042722,187,0.0975,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
"moth_dec_3_NB_SampleID_14",360613.000008752,7466011.00000448,2004,907.864438056946,0.39166664953033,192,0.2425,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1
"moth_dec_3_NB_SampleID_15",360613.000002615,7466011.00000659,2005,841.927695274353,1.43333322803179,197,-0.2675,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1
"moth_dec_3_NB_SampleID_16",360613.000009775,7466011.00000774,2006,682.523597717285,0.791666537523285,197,-0.2075,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
"moth_dec_3_NB_SampleID_17",360613.000007841,7466011.00000803,2007,792.257246017456,0.816666598121325,195,0.173333333333333,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"moth_dec_3_NB_SampleID_18",504314.000002032,7562582.00000697,1998,871.384941101075,-2.74166665474574,225,-0.480833333333333,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
"moth_dec_3_NB_SampleID_19",504314.00000075,7562582.00000925,1999,704.135792732239,-1.23333323001861,211,0.390833333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"moth_dec_3_NB_SampleID_20",504314.000001716,7562582.00000889,2000,782.310092926025,0.358333309491469,208,0.206666666666667,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"moth_dec_3_NB_SampleID_21",504314.000007763,7562582.00000775,2001,717.996002197267,-1.33333327372868,206,-0.1825,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_22",504314.000007682,7562582.00000053,2002,689.860032081604,-1.30000004172326,207,0.0391666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_23",504314.000008883,7562582.00000639,2003,555.324464797974,-0.533333251873658,206,0.0975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_24",504314.000005561,7562582.00000125,2004,777.723955154419,-0.416666696468991,209,0.2425,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"moth_dec_3_NB_SampleID_25",504314.000004932,7562582.00000717,2005,702.465849876404,0.466666718324031,205,-0.2675,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
