"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Cerapteryx graminis","Diarsia mendica","Dysstroma citratum","Dysstroma truncatum","Entephria caesiata","Epirrita autumnata","Eulithis populata","Eulithis testata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia vulgata","Hillia iris","Hydriomena furcata","Lithomoia solidaginis","Macaria brunneata","Macaria loricaria","Operophtera brumata","Operophtera fagata","Orthosia gothica","Poecilocampa populi","Scopula ternata","Selenia dentaria","Syngrapha interrogationis","Thera juniperata","Xanthia togata","Xanthorhoe annotinata","Xanthorhoe decoloraria","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia alpicola","Xestia speciosa"
"moth_dec_4_NB_SampleID_1",360613.000009296,7466011.00000014,2008,760.61480140686,0.624999952812987,202,-0.378333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1
"moth_dec_4_NB_SampleID_2",360613.000007383,7466011.00000325,2009,578.762048721314,0.641666784882542,209,-0.243333333333333,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
"moth_dec_4_NB_SampleID_3",360613.000001513,7466011.00000197,2010,681.994272232055,-0.966666787862775,203,-1.1525,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
"moth_dec_4_NB_SampleID_4",363796.000007546,7474269.00000351,2013,659.837029457092,1.07499995951852,199,0.21,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
"moth_dec_4_NB_SampleID_5",363796.000008518,7474269.00000377,2014,627.932495117188,1.60833332190912,204,0.186666666666667,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"moth_dec_4_NB_SampleID_6",504314.000002507,7562582.00000061,2008,742.103265762329,-0.600000023841858,219,-0.378333333333333,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"moth_dec_4_NB_SampleID_7",504314.000007046,7562582.0000043,2009,567.718346595764,-0.716666738192243,217,-0.243333333333333,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"moth_dec_4_NB_SampleID_8",504314.0000008,7562582.00000128,2010,674.698837280274,-1.92500003365178,213,-1.1525,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"moth_dec_4_NB_SampleID_9",504314.000005568,7562582.00000779,2011,788.054415702819,0.500000079472851,180,0.293333333333333,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"moth_dec_4_NB_SampleID_10",504314.000000153,7562582.00000586,2012,671.073141098022,-1.36666660507521,218,-0.455833333333333,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"moth_dec_4_NB_SampleID_11",504314.000005008,7562582.00000725,2013,528.201826572418,0.0249999910593076,214,0.21,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"moth_dec_4_NB_SampleID_12",504314.00000988,7562582.0000003,2014,606.238587379455,0.183333386977514,216,0.186666666666667,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
