"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Microtus agrestis","Microtus levis","Myodes glareolus","Myodes rutilus","Myopus schisticolor","Sorex araneus","Sorex minutus"
"smallrodents_dec_1_MB_SampleID_1",282000,6905000,1979,62.4000002443792,2.80000000447036,142,0.135,0,0,0,0,0,1,0
"smallrodents_dec_1_MB_SampleID_2",282000,6905000,1981,55.8999989777805,2.34999993070961,184,-0.2125,1,0,0,0,0,1,0
"smallrodents_dec_1_MB_SampleID_3",282000,6905000,1982,64.1999993324282,3.16666662693025,142,0.43,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_4",282000,6905000,1985,38.6999999284746,0.916666676600779,179,-0.183333333333333,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_5",282000,6905000,1986,58.5999996066094,2.34166663388411,150,0.503333333333333,1,0,0,0,0,1,0
"smallrodents_dec_1_MB_SampleID_6",282000,6905000,1987,38.7999997138977,1.06666664282481,152,-0.1225,1,0,0,0,0,1,0
"smallrodents_dec_1_MB_SampleID_7",345000,6935000,1978,41.1999993920325,1.08333329856395,168,0.3175,0,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_8",345000,6935000,1979,58.799999549985,2.49166666095456,170,0.135,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_9",345000,6935000,1980,57.0000016689301,2.06666674216589,180,-0.4125,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_10",345000,6935000,1981,53.100002527237,2.10000016291936,195,-0.2125,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_11",345000,6935000,1982,57.9000004529954,2.69166667262714,171,0.43,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_12",345000,6935000,1983,64.700000524521,3.00833334525427,167,0.31,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_13",345000,6935000,1984,69.6000010967254,3.52500007549921,158,0.2475,1,0,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_14",345000,6935000,1985,33.6000002622606,0.499999990065899,192,-0.183333333333333,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_15",345000,6935000,1986,55.7999991178511,2.05833330750465,156,0.503333333333333,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_16",345000,6935000,1987,32.1000020503998,0.500000139077506,169,-0.1225,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_17",259000,6964000,1979,64.7000004947187,2.92500000943741,148,0.135,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_18",259000,6964000,1980,63.3999986648558,2.58333325386047,165,-0.4125,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_19",259000,6964000,1981,56.6999994814397,2.40833335369825,175,-0.2125,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_20",259000,6964000,1982,65.1000016927719,3.23333345850309,142,0.43,1,0,0,0,0,1,1
"smallrodents_dec_1_MB_SampleID_21",259000,6964000,1983,71.1999990940093,3.59166663885116,136,0.31,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_22",259000,6964000,1984,73.6000009775162,3.85000003377597,136,0.2475,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_23",259000,6964000,1985,38.1999987959864,0.858333264788005,161,-0.183333333333333,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_24",259000,6964000,1986,60,2.41666666666667,139,0.503333333333333,0,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_25",259000,6964000,1987,40.0000004768371,1.13333332538604,160,-0.1225,0,0,0,0,0,1,0
"smallrodents_dec_1_MB_SampleID_26",295000,6996000,1978,50.0000008195639,1.76666671906909,145,0.3175,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_27",295000,6996000,1979,65.700000450015,2.9583333072563,156,0.135,1,1,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_28",295000,6996000,1980,62.399998664856,2.46666661898295,172,-0.4125,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_29",295000,6996000,1981,58.2999998927116,2.47500003874302,179,-0.2125,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_30",295000,6996000,1982,63.6000000834465,3.09166667362055,150,0.43,1,1,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_31",295000,6996000,1983,70.699998855591,3.48333326975506,141,0.31,0,0,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_32",295000,6996000,1984,75.3000000715254,3.92500002185503,143,0.2475,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_33",295000,6996000,1985,37.1999984979629,0.733333239952722,165,-0.183333333333333,1,1,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_34",295000,6996000,1986,60.8999987244606,2.44999989370505,127,0.503333333333333,1,1,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_35",295000,6996000,1987,37.799997806549,0.891666531562798,162,-0.1225,1,0,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_36",305000,7001000,1978,47.4999978244303,1.57499986638625,137,0.3175,1,1,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_37",305000,7001000,1979,63.5999999046325,2.79999999205271,141,0.135,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_38",305000,7001000,1980,59.3000028133394,2.24166677395504,173,-0.4125,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_39",305000,7001000,1981,55.3999985456465,2.24999991059302,179,-0.2125,1,1,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_40",305000,7001000,1982,60.7000005245211,2.88333334525427,154,0.43,1,1,1,0,0,1,0
