"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Apodemus flavicollis","Micromys minutus","Microtus agrestis","Myodes glareolus","Sorex araneus","Sorex minutus"
"smallrodents_dec_1_SB_SampleID_1",538000,6719000,1982,80.2000004649162,4.26666670540969,139,0.43,1,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_2",538000,6719000,1983,91.299998998642,4.89166663090388,138,0.31,0,0,1,0,1,0
"smallrodents_dec_1_SB_SampleID_3",362000,6739000,1978,59.2999982833863,2.49999992052714,141,0.3175,0,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_4",362000,6739000,1979,73.8999993205071,3.65833327670893,148,0.135,0,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_5",362000,6739000,1980,72.6999981403349,3.31666654348372,170,-0.4125,0,0,0,1,1,0
"smallrodents_dec_1_SB_SampleID_6",362000,6739000,1981,72.5999990701677,3.60833331942559,167,-0.2125,1,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_7",362000,6739000,1982,78.8000009655955,4.23333333432675,138,0.43,1,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_8",362000,6739000,1983,87.100001335144,4.70833341280619,137,0.31,1,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_9",362000,6739000,1984,84.4000002741815,4.68333337207636,144,0.2475,1,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_10",362000,6739000,1985,51.7000004053117,1.91666671633721,152,-0.183333333333333,0,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_11",362000,6739000,1986,75.300001144409,3.50833336512247,139,0.503333333333333,1,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_12",362000,6739000,1987,50.3000004291535,1.91666668653489,151,-0.1225,0,0,1,1,1,1
"smallrodents_dec_1_SB_SampleID_13",460000,6791000,1986,75.4000027775766,3.42500013609728,138,0.503333333333333,0,0,1,1,0,0
"smallrodents_dec_1_SB_SampleID_14",460000,6791000,1987,48.0999999046327,1.64999997615815,162,-0.1225,0,0,1,1,0,0
"smallrodents_dec_1_SB_SampleID_15",369000,6796000,1979,74.899999141693,3.68333327770233,136,0.135,0,0,0,1,1,0
"smallrodents_dec_1_SB_SampleID_16",369000,6796000,1981,71.7999990582465,3.49166661997636,161,-0.2125,1,1,1,1,1,0
"smallrodents_dec_1_SB_SampleID_17",369000,6796000,1982,78.599999666214,4.1749999721845,130,0.43,1,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_18",369000,6796000,1983,86.4000024795534,4.60000014305116,142,0.31,1,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_19",369000,6796000,1985,51.5000016689299,1.85000012318293,160,-0.183333333333333,1,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_20",369000,6796000,1986,74.7999985814094,3.44166654845078,139,0.503333333333333,0,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_21",369000,6796000,1987,49.7000002861025,1.82500008742016,157,-0.1225,0,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_22",623000,6840000,1982,69.9000006914137,3.50833337505658,142,0.43,0,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_23",623000,6840000,1986,71.2000002861024,3.01666669050853,145,0.503333333333333,0,0,1,1,1,0
"smallrodents_dec_1_SB_SampleID_24",623000,6840000,1987,41.500000834465,1.06666667262713,160,-0.1225,0,0,1,1,1,0
