"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Micromys minutus","Microtus agrestis","Microtus levis","Microtus oeconomus","Mus musculus","Myodes glareolus","Myopus schisticolor","Neomys fodiens","Sores caecutiens","Sorex araneus","Sorex minutus"
"smallrodents_dec_2_MB_SampleID_1",282000,6905000,1988,74.5000002384186,3.41666668653488,180,-0.0133333333333333,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_2",282000,6905000,1989,89.0999995246531,4.94999997628233,144,0.701666666666667,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_3",282000,6905000,1990,80.8000001758337,4.4000000146528,122,0.594166666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_4",282000,6905000,1991,75.7999988794328,4.04166663686435,118,0.268333333333333,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_5",282000,6905000,1992,77.4999984651804,4.04999990388751,178,0.580833333333333,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_6",282000,6905000,1993,64.4999998807909,3.27500000596047,141,0.179166666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_7",282000,6905000,1994,65.199999332428,2.96666665871939,135,0.575833333333333,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_8",282000,6905000,1995,75.8999989032745,3.86666657527288,157,-0.0808333333333333,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_9",282000,6905000,1996,59.2999992966653,2.79999995728334,148,-0.214166666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_10",282000,6905000,1997,79.1999969184399,3.87499983857075,110,-0.156666666666667,0,1,0,0,0,1,0,1,0,1,0
"smallrodents_dec_2_MB_SampleID_11",345000,6935000,1988,69.8999994248151,3.01666663462917,181,-0.0133333333333333,1,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_12",345000,6935000,1989,86.2000005468728,4.67500001378358,150,0.701666666666667,1,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_13",345000,6935000,1990,75.500000655651,3.97500003874301,155,0.594166666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_14",345000,6935000,1991,70.1999996900559,3.52500000596047,132,0.268333333333333,1,1,0,0,1,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_15",345000,6935000,1992,72.5000012218952,3.63333338747422,206,0.580833333333333,0,0,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_16",345000,6935000,1993,59.5999990701675,2.87499997019768,167,0.179166666666667,0,0,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_17",345000,6935000,1997,72,3.29166666666667,175,-0.156666666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_18",259000,6964000,1988,75.300000667572,3.49166667461395,178,-0.0133333333333333,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_19",259000,6964000,1989,90.1999991685153,5.04166661327084,122,0.701666666666667,0,1,1,0,0,1,0,1,0,1,1
"smallrodents_dec_2_MB_SampleID_20",259000,6964000,1990,81.300000026822,4.45833331967393,126,0.594166666666667,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_21",259000,6964000,1991,77.1000001430511,4.13333334525426,115,0.268333333333333,0,1,1,0,1,1,0,1,0,1,1
"smallrodents_dec_2_MB_SampleID_22",259000,6964000,1992,78.9000000804663,4.16666670516133,165,0.580833333333333,0,0,1,0,0,1,0,1,0,1,1
"smallrodents_dec_2_MB_SampleID_23",259000,6964000,1993,66.3000001907349,3.42500003178915,122,0.179166666666667,0,1,1,0,1,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_24",259000,6964000,1994,66.4000012874604,3.08333339293798,138,0.575833333333333,1,1,1,0,1,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_25",259000,6964000,1995,76.7000007033349,3.90833337605,159,-0.0808333333333333,1,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_26",259000,6964000,1996,59.6999980658294,2.8249999023974,151,-0.214166666666667,0,1,1,0,1,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_27",259000,6964000,1997,80.0000003278254,3.93333334475755,135,-0.156666666666667,1,1,1,0,0,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_28",295000,6996000,1988,74.8999993354082,3.40833327795069,184,-0.0133333333333333,1,1,1,0,1,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_29",295000,6996000,1989,90.500000476837,5.03333334128061,112,0.701666666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_30",295000,6996000,1990,82.5000014603138,4.50833340734243,111,0.594166666666667,1,1,1,0,1,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_31",295000,6996000,1991,77.1000009775162,4.0583333671093,117,0.268333333333333,0,1,1,0,1,1,0,1,0,1,1
"smallrodents_dec_2_MB_SampleID_32",295000,6996000,1992,79.0000003799797,4.14166668243707,167,0.580833333333333,1,1,1,0,0,1,0,0,1,1,1
"smallrodents_dec_2_MB_SampleID_33",295000,6996000,1993,68.3000010251999,3.53333337108294,124,0.179166666666667,1,1,0,0,1,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_34",295000,6996000,1994,66.9999997615815,3.06666666269303,149,0.575833333333333,1,1,1,0,0,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_35",295000,6996000,1995,77.7999993264677,3.95833334078392,164,-0.0808333333333333,1,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_36",295000,6996000,1996,60.6999988555908,2.84166661898295,151,-0.214166666666667,0,1,1,0,0,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_37",295000,6996000,1997,80.7000006660818,3.92500002371768,138,-0.156666666666667,1,1,0,0,0,1,0,1,1,1,1
"smallrodents_dec_2_MB_SampleID_38",305000,7001000,1988,73.4000011458994,3.29166671447456,182,-0.0133333333333333,0,1,1,0,0,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_39",305000,7001000,1989,88.400001436472,4.88333343714476,114,0.701666666666667,0,1,0,0,1,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_40",305000,7001000,1990,80.5999985933303,4.36666656533877,122,0.594166666666667,1,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_41",305000,7001000,1991,74.9999999999999,3.89166665077209,123,0.268333333333333,0,1,1,0,0,1,0,1,0,1,1
"smallrodents_dec_2_MB_SampleID_42",305000,7001000,1992,77.2999992147087,4.00833328378697,166,0.580833333333333,1,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_43",305000,7001000,1993,66.8999993801118,3.42499993244808,119,0.179166666666667,0,1,0,0,0,1,0,1,0,1,1
"smallrodents_dec_2_MB_SampleID_44",305000,7001000,1994,65.5,2.95000004768372,165,0.575833333333333,0,1,1,0,0,1,0,0,0,1,1
"smallrodents_dec_2_MB_SampleID_45",305000,7001000,1995,76.1999989748002,3.83333326379458,172,-0.0808333333333333,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_46",305000,7001000,1996,59.8000000938773,2.77500000782311,153,-0.214166666666667,0,1,1,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_47",305000,7001000,1997,79.3000015616417,3.808333431681,150,-0.156666666666667,0,1,1,0,1,1,0,1,0,1,0
"smallrodents_dec_2_MB_SampleID_48",370000,7074000,1988,65.6999989002942,2.70833325758576,163,-0.0133333333333333,0,1,0,0,0,0,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_49",370000,7074000,1989,81.6000001877546,4.34166668231288,141,0.701666666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_50",370000,7074000,1990,71.4999995827674,3.65833334624767,114,0.594166666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_51",370000,7074000,1991,65.6000006198882,3.15000003576279,123,0.268333333333333,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_52",370000,7074000,1992,69.5000010728837,3.39166674017906,160,0.580833333333333,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_53",370000,7074000,1993,56.7000002861024,2.61666667461395,127,0.179166666666667,0,1,0,0,0,1,0,0,0,1,0
"smallrodents_dec_2_MB_SampleID_54",370000,7074000,1994,56.9999997615814,2.33333331346512,173,0.575833333333333,0,1,0,0,0,1,0,0,0,1,0
