"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Apodemus agrarius","Apodemus flavicollis","Micromys minutus","Microtus agrestis","Myodes glareolus","Neomys fodiens","Sorex araneus","Sorex minutus"
"smallrodents_dec_3_SB_SampleID_1",266000,6713000,1998,86.6000001430511,4.79166664679845,139,-0.480833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_2",266000,6713000,1999,104.200000524521,5.72500004371008,138,0.390833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_3",266000,6713000,2001,97.5999999269843,5.34166666058203,147,-0.1825,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_4",266000,6713000,2002,100.60000167042,5.48333337716759,136,0.0391666666666667,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_5",266000,6713000,2003,94.7999987602234,5.08333329359691,115,0.0975,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_6",266000,6713000,2004,92.6999979615211,5.34166654447714,125,0.2425,0,0,0,0,1,0,0,0
"smallrodents_dec_3_SB_SampleID_7",266000,6713000,2006,106.900001049042,6.11666675408682,135,-0.2075,0,0,0,0,0,0,1,1
"smallrodents_dec_3_SB_SampleID_8",266000,6713000,2007,105.700000122189,6.12500002607703,77,0.173333333333333,0,1,1,1,0,0,1,0
"smallrodents_dec_3_SB_SampleID_9",538000,6719000,1998,78.2999988794327,3.89999990661939,155,-0.480833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_10",538000,6719000,1999,97.499997794628,4.98333324491977,145,0.390833333333333,0,1,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_11",538000,6719000,2000,101.400001645088,5.84166678786277,110,0.206666666666667,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_12",538000,6719000,2001,90.1999994516373,4.60833331942558,148,-0.1825,1,1,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_13",538000,6719000,2002,89.5999999344349,4.55833335965872,167,0.0391666666666667,0,0,0,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_14",538000,6719000,2004,87.0000002384186,4.70833335320155,147,0.2425,0,0,0,1,0,0,1,0
"smallrodents_dec_3_SB_SampleID_15",538000,6719000,2006,95.1999990344049,5.11666664977869,143,-0.2075,1,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_16",538000,6719000,2007,97.9000024795532,5.46666677792867,96,0.173333333333333,1,1,1,0,1,0,1,0
"smallrodents_dec_3_SB_SampleID_17",362000,6739000,1998,78.3999991416933,4.09999994436901,164,-0.480833333333333,0,1,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_18",362000,6739000,1999,96.3999972343443,5.06666656335194,142,0.390833333333333,0,1,1,1,1,1,1,0
"smallrodents_dec_3_SB_SampleID_19",362000,6739000,2000,100.800001144409,5.93333339691163,116,0.206666666666667,0,1,1,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_20",362000,6739000,2001,88.5999995470046,4.64999994635582,154,-0.1825,0,1,1,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_21",362000,6739000,2002,92.4000000953674,4.86666667461395,161,0.0391666666666667,0,1,0,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_22",362000,6739000,2003,87.8000000715255,4.56666667262712,140,0.0975,0,1,0,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_23",362000,6739000,2004,84.6999999284745,4.70833334326744,150,0.2425,0,0,1,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_24",362000,6739000,2005,94.2999981641769,5.20833324392637,136,-0.2675,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_25",362000,6739000,2006,100.399998545647,5.53333329161008,138,-0.2075,0,0,0,1,0,0,0,0
"smallrodents_dec_3_SB_SampleID_26",362000,6739000,2007,98.1999981403352,5.56666654348374,92,0.173333333333333,0,1,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_27",536000,6753000,1998,75.2999985218048,3.68333325783411,171,-0.480833333333333,1,1,0,1,0,0,1,0
"smallrodents_dec_3_SB_SampleID_28",536000,6753000,1999,95.0000001937151,4.78333331768711,150,0.390833333333333,1,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_29",536000,6753000,2000,98.6999989748,5.6416666607062,121,0.206666666666667,1,1,0,0,0,0,1,0
"smallrodents_dec_3_SB_SampleID_30",536000,6753000,2001,87.1999965906142,4.37499981125195,149,-0.1825,0,1,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_31",536000,6753000,2002,88.3999997079371,4.45833334078391,172,0.0391666666666667,1,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_32",536000,6753000,2003,83.7999981641768,4.24999991059302,142,0.0975,0,0,0,1,0,0,0,0
"smallrodents_dec_3_SB_SampleID_33",536000,6753000,2004,84.0999990701675,4.49999997019768,151,0.2425,1,1,0,1,0,0,1,0
"smallrodents_dec_3_SB_SampleID_34",536000,6753000,2006,94.5000006183984,5.03333335307738,147,-0.2075,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_35",536000,6753000,2007,96.2000012993813,5.31666672726472,116,0.173333333333333,1,1,0,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_36",460000,6791000,1998,76.5000004768372,3.82500000794729,167,-0.480833333333333,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_37",460000,6791000,1999,94.0999987721444,4.80833326280117,147,0.390833333333333,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_38",460000,6791000,2000,100.299999088049,5.79999993989865,125,0.206666666666667,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_39",460000,6791000,2001,87.1000015735625,4.45000006755192,159,-0.1825,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_40",460000,6791000,2002,90.1999992132185,4.61666666467984,176,0.0391666666666667,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_41",460000,6791000,2003,85.6000027656556,4.40000013510387,140,0.0975,0,0,0,0,1,0,0,0
"smallrodents_dec_3_SB_SampleID_42",460000,6791000,2004,83.6999986171722,4.51666655143101,148,0.2425,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_43",460000,6791000,2005,94.4000022411347,5.12500013907751,144,-0.2675,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_44",460000,6791000,2006,97.8000018149614,5.26666678612431,152,-0.2075,0,0,0,0,1,0,0,0
"smallrodents_dec_3_SB_SampleID_45",460000,6791000,2007,96.2999983429907,5.37499992549419,108,0.173333333333333,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_46",369000,6796000,1998,75.9000005722046,3.875,166,-0.480833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_47",369000,6796000,1999,93.8000031709673,4.86666680375736,149,0.390833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_48",369000,6796000,2000,99.6999992877247,5.82500000422201,121,0.206666666666667,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_49",369000,6796000,2001,86.3000016212464,4.45000008742015,157,-0.1825,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_50",369000,6796000,2002,90.0999997258186,4.66666661202907,175,0.0391666666666667,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_51",369000,6796000,2003,86.0000010728836,4.42500004172325,139,0.0975,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_52",369000,6796000,2004,84.8000009655953,4.68333338201046,143,0.2425,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_53",369000,6796000,2005,95.7000012397767,5.28333342075348,133,-0.2675,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_54",369000,6796000,2006,97.4000021815298,5.3083334515492,137,-0.2075,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_55",369000,6796000,2007,95.4999978840352,5.34999988724789,83,0.173333333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_56",623000,6840000,2006,87.5000014305115,4.51666676998139,148,-0.2075,0,0,0,1,1,1,1,0
"smallrodents_dec_3_SB_SampleID_57",623000,6840000,2007,87.7000006884336,4.6833333907028,137,0.173333333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_58",432000,6860000,1998,69.0000005364417,3.31666664779186,171,-0.480833333333333,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_59",432000,6860000,1999,87.6999994516371,4.35833331942558,152,0.390833333333333,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_60",432000,6860000,2000,93.8999988436698,5.34166663388411,138,0.206666666666667,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_61",432000,6860000,2001,78.5000011920928,3.82500006755193,163,-0.1825,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_62",432000,6860000,2002,82.800001308322,4.05833341057102,166,0.0391666666666667,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_63",432000,6860000,2003,79.1999986171723,3.92499993244807,152,0.0975,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_64",432000,6860000,2004,78.4000028371812,4.15833349029224,156,0.2425,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_65",432000,6860000,2005,90.7000010013581,4.87500001986822,152,-0.2675,0,0,0,1,1,0,0,0
"smallrodents_dec_3_SB_SampleID_66",424000,6878000,1998,66.0999997258186,3.09166664381822,179,-0.480833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_67",424000,6878000,1999,83.6999992430209,4.06666663537422,154,0.390833333333333,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_68",424000,6878000,2000,89.9000004529954,5.01666664083799,147,0.206666666666667,0,0,0,0,1,0,1,0
"smallrodents_dec_3_SB_SampleID_69",424000,6878000,2001,73.5000009536745,3.45000004768372,176,-0.1825,0,0,0,0,1,1,1,1
"smallrodents_dec_3_SB_SampleID_70",424000,6878000,2002,78.1000024080278,3.71666678786278,179,0.0391666666666667,0,0,0,1,1,0,1,1
"smallrodents_dec_3_SB_SampleID_71",424000,6878000,2003,75.3000006675719,3.64166669050852,150,0.0975,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_72",424000,6878000,2004,74.2000000476837,3.85000000397364,156,0.2425,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_73",424000,6878000,2005,85.9999988079071,4.53333328167597,152,-0.2675,0,0,0,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_74",424000,6878000,2006,85.2000004947186,4.39999999354283,156,-0.2075,0,0,0,0,1,0,1,0
"smallrodents_dec_3_SB_SampleID_75",368000,6901000,1998,60.6999991536142,2.70833327869575,141,-0.480833333333333,0,0,1,1,1,0,1,0
"smallrodents_dec_3_SB_SampleID_76",368000,6901000,1999,76.9999985694884,3.63333324591318,148,0.390833333333333,0,0,1,1,1,1,1,0
"smallrodents_dec_3_SB_SampleID_77",368000,6901000,2000,86.6000007390977,4.79166669646899,143,0.206666666666667,0,0,0,1,1,1,1,1
