"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Apodemus agrarius","Apodemus flavicollis","Micromys minutus","Microtus agrestis","Microtus levis","Myodes glareolus","Neomys fodiens","Sorex araneus","Sorex minutus"
"smallrodents_dec_4_SB_SampleID_1",266000,6713000,2008,110.69999691844,6.62499983857076,85,-0.378333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_2",266000,6713000,2009,91.0999994277955,5.09999998410543,120,-0.243333333333333,0,0,0,0,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_3",266000,6713000,2010,82.9000008106231,3.98333336909611,156,-1.1525,0,1,0,1,0,0,0,1,0
"smallrodents_dec_4_SB_SampleID_4",266000,6713000,2011,110.700000047684,6.17499997218451,123,0.293333333333333,0,0,0,0,0,0,0,1,0
"smallrodents_dec_4_SB_SampleID_5",266000,6713000,2012,86.9999997615814,4.79166664679845,145,-0.455833333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_6",266000,6713000,2013,102.79999935627,5.75000000993411,122,0.21,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_7",266000,6713000,2014,108.999999545515,6.38333332724869,77,0.186666666666667,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_8",266000,6713000,2015,105.500000417233,6.4916666696469,73,0.433333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_9",266000,6713000,2016,98.2999994978307,5.57499998994171,123,-0.0383333333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_10",266000,6713000,2017,95.3000000715256,5.6083333392938,113,0.225833333333333,0,1,0,0,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_11",266000,6713000,2018,107.999997258186,6.1083332002163,129,1.08333333333333,1,0,1,0,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_12",538000,6719000,2008,103.49999922514,6.09999999900659,123,-0.378333333333333,1,0,0,0,1,1,0,1,0
"smallrodents_dec_4_SB_SampleID_13",538000,6719000,2009,88.0000021457672,4.69166678190232,136,-0.243333333333333,0,0,0,1,0,1,1,1,1
"smallrodents_dec_4_SB_SampleID_14",538000,6719000,2010,82.099999666214,3.69999998807907,153,-1.1525,1,1,1,1,1,1,0,1,0
"smallrodents_dec_4_SB_SampleID_15",538000,6719000,2011,107.400001168251,5.80833336710931,118,0.293333333333333,0,0,0,1,1,1,0,1,0
"smallrodents_dec_4_SB_SampleID_16",538000,6719000,2012,83.3999992609023,4.31666665275891,148,-0.455833333333333,0,0,0,1,0,0,0,1,0
"smallrodents_dec_4_SB_SampleID_17",538000,6719000,2013,106.199998810887,5.82499996448557,130,0.21,1,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_18",538000,6719000,2014,104.100001275539,5.91666674117248,77,0.186666666666667,1,0,0,1,1,1,0,1,0
"smallrodents_dec_4_SB_SampleID_19",538000,6719000,2015,105.799997925758,6.34999987483025,73,0.433333333333333,1,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_20",538000,6719000,2016,94.9999989867211,5.17499994734924,136,-0.0383333333333333,0,0,0,1,1,1,0,1,0
"smallrodents_dec_4_SB_SampleID_21",538000,6719000,2017,91.0000010877846,5.1916666937371,110,0.225833333333333,0,0,0,1,0,1,0,1,1
"smallrodents_dec_4_SB_SampleID_22",538000,6719000,2018,103.600000619888,5.69166670242945,126,1.08333333333333,1,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_23",362000,6739000,2008,104.099997729063,6.15833323945601,119,-0.378333333333333,0,0,0,1,0,1,0,1,1
"smallrodents_dec_4_SB_SampleID_24",362000,6739000,2010,79.9000008106232,3.67500005165736,155,-1.1525,0,0,0,1,0,1,0,1,1
"smallrodents_dec_4_SB_SampleID_25",362000,6739000,2011,107.400000095367,5.91666670640309,127,0.293333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_26",362000,6739000,2012,82.4000017642974,4.37500009934107,153,-0.455833333333333,0,0,0,1,0,1,1,1,0
"smallrodents_dec_4_SB_SampleID_27",362000,6739000,2013,101.29999756813,5.6249998609225,136,0.21,0,0,1,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_28",362000,6739000,2014,102.999999821186,5.9083333661159,106,0.186666666666667,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_29",362000,6739000,2015,101.399999976158,6.15833333134652,98,0.433333333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_30",362000,6739000,2016,93.3000010251999,5.15833337108294,138,-0.0383333333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_31",362000,6739000,2017,87.5999987125395,5.01666659116744,137,0.225833333333333,0,0,0,1,0,0,0,1,0
"smallrodents_dec_4_SB_SampleID_32",362000,6739000,2018,102.799999237061,5.6833332379659,140,1.08333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_33",536000,6753000,2008,99.5999988317489,5.79166661699613,142,-0.378333333333333,1,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_34",536000,6753000,2009,84.7000018358232,4.45833342274031,155,-0.243333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_35",536000,6753000,2010,79.6000001430511,3.51666663090388,152,-1.1525,1,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_36",536000,6753000,2011,106.100001215935,5.70000003774961,122,0.293333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_37",536000,6753000,2012,80.9000017642976,4.10833344856898,154,-0.455833333333333,1,0,0,1,0,1,0,1,1
"smallrodents_dec_4_SB_SampleID_38",536000,6753000,2013,104.699999138713,5.73333329334854,137,0.21,1,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_39",536000,6753000,2014,102.699997901917,5.79166658719381,101,0.186666666666667,0,0,0,1,0,1,0,1,1
"smallrodents_dec_4_SB_SampleID_40",536000,6753000,2015,103.499999701977,6.19166665772597,96,0.433333333333333,1,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_41",536000,6753000,2016,92.6000013351443,5.00000007947287,149,-0.0383333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_42",536000,6753000,2017,87.5999996885657,4.92499997404714,125,0.225833333333333,0,0,0,1,0,1,1,1,0
"smallrodents_dec_4_SB_SampleID_43",536000,6753000,2018,103.10000026226,5.63333335518837,139,1.08333333333333,1,0,1,1,0,1,1,1,0
"smallrodents_dec_4_SB_SampleID_44",394240,6770280,2010,72.9999997615816,3.14166663090389,146,-1.1525,0,1,1,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_45",394240,6770280,2011,101.499998152256,5.4833332747221,113,0.293333333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_46",394240,6770280,2012,77.200000166893,3.9416666328907,154,-0.455833333333333,0,1,0,1,0,1,1,1,0
"smallrodents_dec_4_SB_SampleID_47",394240,6770280,2013,96.1000013127924,5.24166671248774,128,0.21,0,1,0,1,0,1,1,1,0
"smallrodents_dec_4_SB_SampleID_48",394240,6770280,2014,97.0999981164933,5.47499987483025,93,0.186666666666667,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_49",394240,6770280,2015,100.199999004602,6.04999996473392,81,0.433333333333333,0,1,1,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_50",394240,6770280,2016,90.4000018239022,4.9166667709748,129,-0.0383333333333333,0,1,0,1,0,1,1,1,0
"smallrodents_dec_4_SB_SampleID_51",394240,6770280,2017,85.7000003084541,4.8666666764766,126,0.225833333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_52",394240,6770280,2018,97.500000476837,5.2999999920527,129,1.08333333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_53",400030,6786540,2015,94.1000005975364,5.60833336723347,94,0.433333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_54",400030,6786540,2016,85.1000024080278,4.55000012119612,138,-0.0383333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_55",400030,6786540,2017,80.5999990105627,4.51666661600271,133,0.225833333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_56",400030,6786540,2018,93.9000005722047,5.03333338101706,140,1.08333333333333,0,1,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_57",460000,6791000,2008,100.10000115633,5.84166668355466,136,-0.378333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_58",460000,6791000,2009,84.499998807907,4.4916666150093,140,-0.243333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_59",460000,6791000,2010,77.7999992370604,3.41666666666666,154,-1.1525,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_60",460000,6791000,2011,106.299999713898,5.76666661103567,121,0.293333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_61",460000,6791000,2012,80.6000019311904,4.11666676402092,155,-0.455833333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_62",460000,6791000,2013,102.700001195073,5.6666667026778,127,0.21,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_63",460000,6791000,2014,103.200000166893,5.85000001390776,99,0.186666666666667,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_64",460000,6791000,2015,105.299999892711,6.36666668951511,90,0.433333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_65",460000,6791000,2016,94.300001204014,5.13333337008954,148,-0.0383333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_66",460000,6791000,2017,89.1000017896295,5.05833343478541,137,0.225833333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_67",460000,6791000,2018,102.899998426438,5.63333326578142,142,1.08333333333333,0,0,0,1,0,1,0,0,0
"smallrodents_dec_4_SB_SampleID_68",369000,6796000,2008,101.400000780821,5.95833335071802,117,-0.378333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_69",369000,6796000,2009,84.4999988079072,4.54999993244807,127,-0.243333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_70",369000,6796000,2010,76.1999993324279,3.37499996026357,149,-1.1525,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_71",369000,6796000,2011,105.000002145767,5.73333344856898,118,0.293333333333333,0,0,0,1,0,1,0,1,0
"smallrodents_dec_4_SB_SampleID_72",369000,6796000,2012,80.200000703335,4.1750000268221,148,-0.455833333333333,0,0,1,1,0,1,1,1,0
