"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Geranium sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium microcarpon","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_NB_SampleID_1",564800,7254660,1985,722.785133361816,-2.15833337108293,206,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_2",596790,7254660,1985,655.419643402099,-2.27500013510386,208,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_3",564800,7255060,1985,722.785133361816,-2.15833337108293,206,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_4",548810,7255860,1985,729.094444274902,-1.9750000834465,205,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1
"plant_dec_1_NB_SampleID_5",564800,7255860,1985,722.785133361816,-2.15833337108293,206,-0.183333333333333,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_6",615780,7269860,1985,660.320298194885,-2.46666677792868,209,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_7",615780,7270460,1985,660.320298194885,-2.46666677792868,209,-0.183333333333333,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_8",532820,7270660,1985,710.644339561462,-1.99999989072482,208,-0.183333333333333,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
"plant_dec_1_NB_SampleID_9",596790,7270660,1985,662.834180831909,-2.47499994436901,213,-0.183333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_10",532820,7271060,1985,710.644339561462,-1.99999989072482,208,-0.183333333333333,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1
