"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Melampyrum sylvaticum","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_2_NB_SampleID_1",564800,7254660,1995,705.332206726074,0.974999944369011,213,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_2",596790,7254660,1995,656.364032745361,0.883333310484878,213,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_3",564800,7255060,1995,705.332206726074,0.974999944369011,213,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_4",548810,7255860,1995,721.641483306884,1.08333330104749,213,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1
"plant_dec_2_NB_SampleID_5",564800,7255860,1995,705.332206726074,0.974999944369011,213,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_6",615780,7269860,1995,670.984565734863,0.758333320418987,215,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_7",615780,7270460,1995,670.984565734863,0.758333320418987,215,-0.0808333333333333,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_8",532820,7270660,1995,744.839639663697,1.05000001937151,217,-0.0808333333333333,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1
"plant_dec_2_NB_SampleID_9",596790,7270660,1995,670.368286132812,0.724999919533726,215,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_10",532820,7271060,1995,744.839639663697,1.05000001937151,217,-0.0808333333333333,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
"plant_dec_2_NB_SampleID_11",532820,7271460,1995,744.839639663697,1.05000001937151,217,-0.0808333333333333,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1
"plant_dec_2_NB_SampleID_12",548810,7271460,1995,729.463455200196,0.916666614512608,211,-0.0808333333333333,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
"plant_dec_2_NB_SampleID_13",532820,7271860,1995,744.839639663697,1.05000001937151,217,-0.0808333333333333,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_14",516820,7286650,1995,745.951942443848,1.06666674961646,217,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_15",532820,7286650,1995,761.992200851441,0.916666587193808,217,-0.0808333333333333,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_16",548810,7286650,1995,751.880544662476,0.750000049670545,217,-0.0808333333333333,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_17",516820,7287450,1995,731.48992729187,1.10833336412907,217,-0.0808333333333333,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
"plant_dec_2_NB_SampleID_18",532820,7287850,1995,782.200569152832,0.758333350221322,217,-0.0808333333333333,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
"plant_dec_2_NB_SampleID_19",548810,7287850,1995,776.581802368165,0.658333366115882,217,-0.0808333333333333,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_20",503830,7293850,1995,721.410076141358,1.18333335220814,217,-0.0808333333333333,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_21",631780,7293850,1995,706.781562805176,0.491666644811633,216,-0.0808333333333333,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
"plant_dec_2_NB_SampleID_22",503830,7294450,1995,721.410076141358,1.18333335220814,217,-0.0808333333333333,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
"plant_dec_2_NB_SampleID_23",599790,7294450,1995,680.364389419556,0.591666708389922,215,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"plant_dec_2_NB_SampleID_24",631780,7294450,1995,706.781562805176,0.491666644811633,216,-0.0808333333333333,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1
"plant_dec_2_NB_SampleID_25",599790,7295050,1995,680.364389419556,0.591666708389922,215,-0.0808333333333333,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1
"plant_dec_2_NB_SampleID_26",532820,7303050,1995,775.490629196167,0.800000091393794,217,-0.0808333333333333,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1
"plant_dec_2_NB_SampleID_27",532820,7303450,1995,775.490629196167,0.800000091393794,217,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1
"plant_dec_2_NB_SampleID_28",532820,7303840,1995,775.490629196167,0.800000091393794,217,-0.0808333333333333,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1
"plant_dec_2_NB_SampleID_29",487830,7317840,1995,687.902070045471,1.01666659116745,212,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
"plant_dec_2_NB_SampleID_30",583790,7317840,1995,729.262016296387,0.275000055631003,213,-0.0808333333333333,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
