"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Betula pubescens","Calamagrostis arundinacea","Calamagrostis epigejos","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Gymnocarpium dryopteris","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Orthilia secunda","Picea abies","Pinus sylvestris","Populus tremula","Rubus saxatilis","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_3_MB_SampleID_1",228940,6870820,2006,767.44291305542,5.60000005364418,141,-0.2075,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1
"plant_dec_3_MB_SampleID_2",324900,6870820,2006,694.030773162842,4.69166675706705,155,-0.2075,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_3",244930,6886810,2006,751.358450889587,5.09166671335697,148,-0.2075,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1
"plant_dec_3_MB_SampleID_4",324900,6886810,2006,571.006443023682,4.63333339119952,143,-0.2075,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
"plant_dec_3_MB_SampleID_5",308910,6887210,2006,649.237587928772,4.61666669075688,156,-0.2075,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_6",244930,6904000,2006,761.365034103394,4.90833325684071,150,-0.2075,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_7",356890,6918800,2006,601.321597099304,4.12499999006589,154,-0.2075,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"plant_dec_3_MB_SampleID_8",372880,6918800,2006,628.883371353149,4.0583331187566,152,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
"plant_dec_3_MB_SampleID_9",420860,6918800,2006,619.282110214234,3.97500003874303,154,-0.2075,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"plant_dec_3_MB_SampleID_10",324900,6919600,2006,516.408393859864,4.38333331545194,144,-0.2075,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_11",260930,6920000,2006,657.775047302246,4.68333336214224,151,-0.2075,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"plant_dec_3_MB_SampleID_12",276920,6920000,2006,646.006406784058,4.69166679183643,153,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1
"plant_dec_3_MB_SampleID_13",388870,6920000,2006,671.588786125183,4.02499990661939,156,-0.2075,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1
"plant_dec_3_MB_SampleID_14",260930,6934790,2006,594.094596862794,4.70833333830039,149,-0.2075,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
"plant_dec_3_MB_SampleID_15",308910,6934790,2006,569.797672271728,4.47500000024835,144,-0.2075,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_16",276920,6935590,2006,626.294155120849,4.6500000456969,150,-0.2075,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1
"plant_dec_3_MB_SampleID_17",340890,6935590,2006,535.648808002472,4.19999994337558,151,-0.2075,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1
"plant_dec_3_MB_SampleID_18",340890,6950790,2006,554.202096939087,4.1499999711911,149,-0.2075,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
"plant_dec_3_MB_SampleID_19",372880,6950790,2006,614.347043991089,3.94166681170464,153,-0.2075,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_20",324900,6951590,2006,540.4709815979,4.29999996411303,148,-0.2075,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_21",356890,6951990,2006,598.029777526855,3.95833332339922,154,-0.2075,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1
"plant_dec_3_MB_SampleID_22",340890,6966780,2006,545.420371055603,4.16666680326065,150,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"plant_dec_3_MB_SampleID_23",356890,6966780,2006,556.217420578003,4.00833334525426,150,-0.2075,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_24",388870,6966780,2006,561.498685836792,4.04166663189729,140,-0.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_25",404870,6966780,2006,545.899894714355,3.99166670938333,153,-0.2075,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_26",420860,6966780,2006,567.552491188049,3.94166674216588,153,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_27",436860,6966780,2006,582.114862442016,4.05000000695388,150,-0.2075,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_28",724740,6966780,2006,746.93883228302,2.79999988029401,169,-0.2075,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
"plant_dec_3_MB_SampleID_29",260930,6967580,2006,582.718111038208,4.8583332846562,144,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_30",276920,6982770,2006,544.789674758911,4.89166664580504,134,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"plant_dec_3_MB_SampleID_31",324900,6982770,2006,532.243344306945,4.31666656521458,150,-0.2075,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"plant_dec_3_MB_SampleID_32",340890,6982770,2006,530.397150993347,4.21666667362054,150,-0.2075,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
"plant_dec_3_MB_SampleID_33",372880,6982770,2006,536.100750923157,3.99166663984457,148,-0.2075,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1
