"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Betula pubescens","Calluna vulgaris","Deschampsia flexuosa","Empetrum nigrum","Ledum palustre","Linnaea borealis","Luzula pilosa","Melampyrum pratense","Pinus sylvestris","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_3_NB_SampleID_1",564800,7254660,2006,678.963764190674,1.20833331346513,201,-0.2075,0,1,1,1,0,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_2",596790,7254660,2006,685.063920974731,1.04166663934787,201,-0.2075,0,1,0,1,0,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_3",615780,7269860,2006,745.952760696411,0.9166667026778,197,-0.2075,1,0,1,1,1,0,0,1,0,1,1,1
"plant_dec_3_NB_SampleID_4",532820,7270660,2006,624.419479370117,1.41666661947966,192,-0.2075,0,0,1,1,0,1,1,1,1,1,1,1
"plant_dec_3_NB_SampleID_5",596790,7270660,2006,699.859956741333,0.916666752348342,202,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_6",516820,7286650,2006,608.18628692627,1.48333330204089,192,-0.2075,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_7",532820,7286650,2006,630.230270385742,1.31666666890185,192,-0.2075,0,1,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_8",599790,7294450,2006,657.511651992798,0.825000099216896,202,-0.2075,0,0,1,0,0,1,1,1,0,1,0,1
"plant_dec_3_NB_SampleID_9",487830,7317840,2006,498.737083435059,1.64166674204172,190,-0.2075,0,0,1,1,0,1,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_10",583790,7317840,2006,565.147026062011,0.625000089406966,202,-0.2075,1,1,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_11",503830,7341830,2006,486.017917633057,1.35833344608545,196,-0.2075,0,0,1,1,1,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_12",567800,7341830,2006,559.122232437134,0.699999983112016,202,-0.2075,0,1,0,1,1,0,0,1,1,1,1,1
"plant_dec_3_NB_SampleID_13",599790,7341830,2006,568.880334854126,0.383333265781411,202,-0.2075,0,0,0,1,0,1,0,1,0,1,1,1
"plant_dec_3_NB_SampleID_14",487830,7365820,2006,434.371719360352,1.47500001390775,193,-0.2075,0,1,0,1,1,1,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_15",519820,7365820,2006,466.503041267395,1.25000006953875,199,-0.2075,0,1,0,1,0,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_16",583790,7365820,2006,517.99437713623,0.433333357175181,200,-0.2075,0,0,1,1,1,0,1,1,1,1,1,1
"plant_dec_3_NB_SampleID_17",503830,7389810,2006,449.656591415405,1.15833333134651,202,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_18",407870,7390410,2006,466.405977725983,1.50833336512249,191,-0.2075,0,0,1,1,0,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_19",423860,7413800,2006,438.325390815735,1.4749999543031,194,-0.2075,0,0,1,1,1,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_20",455850,7413800,2006,468.309103012085,1.12499998013179,204,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_21",487830,7413800,2006,474.930572509766,1.00833336512248,205,-0.2075,1,1,1,1,0,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_22",551810,7413800,2006,569.01589012146,0.791666716337203,198,-0.2075,1,0,1,1,1,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_23",391870,7415000,2006,441.679723739624,1.34166665871939,191,-0.2075,1,0,1,1,0,0,1,1,1,1,1,1
"plant_dec_3_NB_SampleID_24",375880,7437790,2006,698.503747940063,0.941666722297661,201,-0.2075,0,1,1,1,0,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_25",407870,7437790,2006,521.647990226745,1.00833330551783,201,-0.2075,0,1,1,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_26",439850,7437790,2006,456.054171562195,0.916666597127916,202,-0.2075,0,1,0,1,1,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_27",567800,7437790,2006,509.262009620667,0.283333311478291,207,-0.2075,1,0,1,1,0,0,1,1,1,1,0,1
"plant_dec_3_NB_SampleID_28",471840,7438990,2006,468.82255935669,0.808333267768229,206,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_29",391870,7461780,2006,859.429794311524,0.675000011920928,201,-0.2075,1,1,1,1,1,0,1,1,0,1,1,1
"plant_dec_3_NB_SampleID_30",487830,7461780,2006,474.018061637878,0.6333333949248,204,-0.2075,0,1,0,1,0,0,0,0,1,0,0,1
"plant_dec_3_NB_SampleID_31",583790,7461780,2006,569.256307601929,-0.175000001986827,208,-0.2075,0,0,1,1,0,1,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_32",423860,7462380,2006,446.193025588989,0.766666630903877,202,-0.2075,0,0,1,1,1,0,1,0,0,1,1,1
"plant_dec_3_NB_SampleID_33",407870,7485770,2006,547.07926940918,0.658333331346525,202,-0.2075,1,0,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_34",471840,7485770,2006,461.434534072876,0.433333416779836,201,-0.2075,0,0,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_35",503830,7485770,2006,521.725284576416,0.233333289623257,206,-0.2075,0,0,1,1,1,0,1,0,1,1,1,1
"plant_dec_3_NB_SampleID_36",567800,7486370,2006,595.364255905151,0.0916668176650992,208,-0.2075,0,0,1,1,1,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_37",359880,7509760,2006,667.846512794495,0.150000085433331,212,-0.2075,0,0,1,1,0,0,1,0,0,1,1,1
"plant_dec_3_NB_SampleID_38",519820,7509760,2006,528.562091827392,-0.0916667977968766,205,-0.2075,0,0,0,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_39",551810,7509760,2006,602.653009414673,-0.0999999145666757,207,-0.2075,0,1,0,1,0,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_40",423860,7510360,2006,510.802804946899,0.308333486318584,218,-0.2075,0,1,1,1,0,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_41",487830,7510360,2006,463.797197341919,0.0916666090488441,203,-0.2075,0,0,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_42",583790,7510960,2006,565.367134094238,0.0916666388511734,204,-0.2075,0,0,0,1,0,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_43",503830,7533750,2006,504.960527420044,-0.266666675607357,199,-0.2075,0,1,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_44",535810,7533750,2006,558.50880241394,-0.141666606068611,203,-0.2075,0,1,1,1,1,0,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_45",375880,7534350,2006,637.933660507202,0.0999999493360465,214,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_46",359880,7557740,2006,601.36955833435,-0.233333316942061,210,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_47",455850,7557740,2006,544.010472297668,-0.258333310484883,206,-0.2075,0,0,0,1,1,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_48",519800,7557770,2006,555.746587753296,-0.208333323399213,206,-0.2075,0,1,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_49",375880,7581730,2006,572.536630630493,-0.466666678587592,221,-0.2075,0,0,0,1,0,0,0,0,1,1,0,1
"plant_dec_3_NB_SampleID_50",503830,7581730,2006,585.513856887817,0.0416666517655124,206,-0.2075,1,0,1,1,0,0,0,1,1,1,1,1
"plant_dec_3_NB_SampleID_51",343890,7582930,2006,559.349358558655,-0.391666789849596,209,-0.2075,1,0,1,1,0,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_52",439850,7582930,2006,581.123731613159,-0.424999947349235,213,-0.2075,1,0,1,0,0,1,1,0,0,0,1,1
"plant_dec_3_NB_SampleID_53",519820,7605720,2006,570.90446472168,0.416666706403098,204,-0.2075,0,1,0,1,1,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_54",551810,7606320,2006,471.78410243988,0.650000015894573,200,-0.2075,0,1,1,1,0,0,0,1,1,1,0,1
"plant_dec_3_NB_SampleID_55",471840,7629710,2006,532.218900680542,-0.283333325137683,208,-0.2075,0,0,1,1,1,1,0,0,1,1,1,1
"plant_dec_3_NB_SampleID_56",503830,7629710,2006,582.852688789368,0.0833333730697692,197,-0.2075,0,0,1,1,1,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_57",487830,7653700,2006,545.417682647705,-0.158333515127492,205,-0.2075,0,0,0,1,1,0,0,0,0,1,0,1
"plant_dec_3_NB_SampleID_58",551810,7653700,2006,592.988616943359,0.241666595141093,205,-0.2075,0,0,1,1,1,0,0,0,0,1,1,1
"plant_dec_3_NB_SampleID_59",535810,7677690,2006,556.749670982361,-0.100000043710073,208,-0.2075,0,0,1,1,1,1,1,0,0,1,0,1
"plant_dec_3_NB_SampleID_60",503820,7725660,2006,563.506353378296,-0.541666749864818,204,-0.2075,0,0,1,1,0,1,0,0,0,1,1,1
